name,provider,scholarship_type,description,eligibility,benefits,deadline,url,country,degree_level,field_of_study,financial_need_required,source
"Scholarship Program at Royal College, Sri Lanka",Scholarship Positions,Merit-Based,"Scholarships help strengthen your academic and career goals by removing financial barriers. To cover study expense, the Royal College is offering the Scholarship Program in Sri Lanka. The award is accessible for domestic students who are going to start a senior-secondary program at the college.","Eligible Countries Eligible Course or Subjects Eligibility Criteria: • Eligible Countries: Sri Lanka. • Eligible Course or Subjects: Senior-secondary program in any stream. • Eligibility Criteria: To be eligible, the applicants must meet all the given criteria: • The scholarship will be awarded for students who have excelled exceptionally well in academics and extracurricular activities, to enhance their knowledge and talents in International level and arena. • How to Apply:For being considered ...",,Open,https://scholarship-positions.com/scholarship-program-at-royal-college-sri-lanka/2020/04/17/,Sri Lanka,various,various,unknown,Scholarship Positions
429 Too Many Requests,Scholarship Positions,General,N/A,N/A,,N/A,https://scholarship-positions.com/bursary-scholarships-at-wayamba-university-of-sri-lanka/2020/04/17/,Unknown,various,various,unknown,Scholarship Positions
"University Scholarships at University of Peradeniya, Sri Lanka",Scholarship Positions,Need-Based,Get financial support to start your educational journey in Sri Lanka by applying for the University Scholarships provided by the University of Peradeniya. The scholarship will be granted to those domestic applicants who want to take part in theundergraduatedegree program inSri Lanka.,"Eligible Countries Eligible Course or Subjects Eligibility Criteria: • Eligible Countries: Sri Lanka. • Eligible Course or Subjects: Bachelor’s degree in the faculty of science. • Eligibility Criteria: To be eligible, the applicants must meet all the following criteria: • Aspirants must secure first place in Biological Science and, first and second places in Physical Science in order of merit at the General Science Qualifying Examination. • How to Apply:For grasping the opportunity, students are...","Award: Rs.1,200.00",Open for 2020,https://scholarship-positions.com/university-scholarships-at-university-of-peradeniya-sri-lanka/2020/04/17/,Sri Lanka,various,various,unknown,Scholarship Positions
Informatics Institute of Technology Awards in Sri Lanka,Scholarship Positions,Merit-Based,Informatics Institute of Technology is delighted to offer bursaries for talented students to support in their higher studies for the academic year 2020-2021. This program assists those Sri Lankan students who want to commence in theundergraduatedegree coursework at IIT inSri Lanka.,"Eligible Countries: Candidates should be G.C.E. A/L: 3 passes or above for main subjects in any stream. Eligibility Criteria: • Eligible Countries:Only Sri Lanka. • Acceptable Course or Subjects:Undergraduate degree coursework in any subject area. • Admissible Criteria:For applying, students must meet the following criteria: • Applicants must be the citizen of Sri Lanka, • Students must have G.C.E. O/L with credit Passes for mathematics and English, • Candidates should be G.C.E. A/L: 3 passes or...",Award: 100,"February 29, 2020",https://scholarship-positions.com/informatics-institute-of-technology-awards-in-sri-lanka/2020/02/25/,Sri Lanka,various,various,unknown,Scholarship Positions
University of Peradeniya Hayleys Award in Sri Lanka,Scholarship Positions,Merit-Based,The University of Peradeniya is welcoming the high-performing students to apply for Hayleys Award for the academic year 2020-2021. The award is open for those Sri Lankan students who wish to study a special degree program inchemistryscience on the basis of the general qualifying examination.,"Eligible Countries: Acceptable Course or Subjects: Eligibility Criteria: • Eligible Countries:Sri Lanka students can participate in this program. • Acceptable Course or Subjects:The award is accessible for chemistrysciencestudy coursework. • Admissible Criteria: The aspirants must be enrolled in chemistry science study coursework at the university, and they must be a citizen of Sri Lanka. • How to Apply:To take part in this studentship, aspirants need to takeadmissionin chemistry science study c...",Award: Rs. 800,Open,https://scholarship-positions.com/university-of-peradeniya-hayleys-award-in-sri-lanka/2020/02/25/,Sri Lanka,various,various,unknown,Scholarship Positions
"University of Sri Jayewardenepura Admission Scholarships, Sri Lanka",Scholarship Positions,Need-Based,"Want to be financially secure for your study needs? Good News! The University of Sri Jayewardenepura is pleased to announce its Admission Scholarships. Each year, the university of SJP makes available a limited number of scholarships for international students.","Eligible Countries: Acceptable Course or Subjects: Eligibility Criteria: • How to apply:To be considered for a scholarship, a student should indicate it on the application foradmission. After taking admission applicants are automatically considered for this study program. • Supporting Documents:Applicants must have all previous academic transcripts, certificates to apply for this study grant. • Language Requirement:Applicants must be able to demonstrate a good command of the English language for...",,Applications are open,https://scholarship-positions.com/university-of-sri-jayewardenepura-admission-scholarships-sri-lanka/2019/12/26/,Sri Lanka,various,various,unknown,Scholarship Positions
"Vice Chancellor´s and Dean´s Awards at University of Ruhuna, Sri Lanka",Scholarship Positions,Merit-Based,"Do you want to apply for the latest scholarship in Sri Lanka? If so, the University of Ruhuna is delighted to offer its Vice Chancellor´s and Dean´s Awards. The study award will be awarded annually to the students with the best overall performances in each Faculty under the approved marking scheme.",Eligible Countries: Acceptable Course or Subjects: Eligibility Criteria: • The best overall student who completed the degree from each faculty shall be selected under the approved marking scheme. The next two best students from each faculty shall be included in the Vice Chancellor’s list. • For Non-Medical students:The students obtaining an average GPA required for a Second Class Upper Division or above in the first attempt of the relevant examination of the courses of study in each academic yea...,Award: Rs.10,"January 10, 2020",https://scholarship-positions.com/vice-chancellors-and-deans-awards-at-university-of-ruhuna-sri-lanka/2019/12/26/,Sri Lanka,various,various,unknown,Scholarship Positions
DAAD In-Region Scholarship Programme South Asia for Master and PhD studies at IIT Bombay,Scholarship Positions,General,"To make your education more affordable, DAAD invites applications for In-Region Scholarship Programme South Asia for Master and PhD studies at IIT Bombay. They offer an opportunity to the students from Bangladesh, Bhutan, Nepal and Sri Lanka to pursue Master’s and PhD studies in the field of Enginee",Eligible Countries: Postgraduate students (2-year master’s degree holders) can apply for a PhD/doctoral studies at the Indian Institute of Technology (IIT) Bombay in the above-mentioned subject fields. Eligibility Criteria: • The funded education is available for Master and PhD studies at the Indian Institute of Technology (IIT) Bombay for intake 2020. • Graduate students (4-year bachelor’s degree holders) can apply for a master’s degree course. • Postgraduate students (2-year master’s degree ho...,,15 January 2020,https://scholarship-positions.com/daad-in-region-scholarship-programme-south-asia-for-master-and-phd-studies-at-iit-bombay/2019/12/14/,Sri Lanka,various,various,unknown,Scholarship Positions
Pathway Fee Scholarship at UTS Insearch in Sri Lanka,Scholarship Positions,General,"Let’s make your 2019 year to win a study fund to pay for your studies in Sri Lanka by applying for the Pathway Fee Scholarship at UTS Insearch. For this study program, applicants must be complete their diploma in Sri Lanka and progress to UTS you will be eligible for the Pathway Fee Credit.",Eligible Countries: Acceptable Course or Subjects: Eligibility Criteria: • The student must not be an Australian domestic student for the purposes of enrolment at UTS • The student must have completed their Diploma with UTS Insearch in Sri Lanka,"Award: $2,500",Applications are Open,https://scholarship-positions.com/pathway-fee-scholarship-at-uts-insearch-in-sri-lanka/2019/11/12/,Sri Lanka,various,various,unknown,Scholarship Positions
"FGS Scholarships at Sabaragamuwa University of Sri Lanka, 2020",Scholarship Positions,Grant/Bursary,"Make positive plans for your future with a scholarship. Here, The Sabaragamuwa University of Sri Lanka is awarding Scholarships for the highly motivated Sri Lankan aspirants. The grant is available for those eligible candidates who wish to pursue themaster’sdegree coursework at the university.","Eligible Countries: Claimants from Sri Lanka Acceptable Course or Subjects: Postgraduate degree in any subject offered by the university Eligibility Criteria: • Eligible Countries: Claimants from Sri Lanka • Acceptable Course or Subjects: Postgraduate degree in any subject offered by the university • Admissible Criteria: To be considered for this education award, the applicant must have to be a domestic student and be applying for the postgraduate degree coursework at the Sabaragamuwa University...",,Open for 2020 intake,https://scholarship-positions.com/fgs-scholarships-at-sabaragamuwa-university-of-sri-lanka/2019/09/20/,Sri Lanka,various,various,unknown,Scholarship Positions
"PATHE Global Campus AUP Scholarships in Sri Lanka, 2020",Scholarship Positions,Need-Based,"With the objective of encouraging and financial support to the deserving candidates, PATHE Global Campus is offering AUP Scholarships inSri Lanka. The program is open for those brilliant aspirants from Sri Lanka who will commence in theundergraduatedegree coursework at any university or college in S","Eligible Countries: Students from Sri Lanka Acceptable Course or Subjects: Bachelor degree in any subject offered by the university Eligibility Criteria: • Eligible Countries: Students from Sri Lanka • Acceptable Course or Subjects: Bachelor degree in any subject offered by the university • Admissible Criteria: To be eligible for this fund, the applicant must be performed exceptionally in all these areas (academics, extracurricular activities, and sports) to get a higher scholarship amount based...","Award: Rs.1,000,000","November 30, 2019",https://scholarship-positions.com/pathe-global-campus-aup-scholarships-in-sri-lanka/2019/09/20/,Sri Lanka,various,various,unknown,Scholarship Positions
"Buddhist & Pali University Mahapola Scholarships in Sri Lanka, 2019",Scholarship Positions,Merit-Based,"High performing Sri Lankan aspirants are invited to apply for the Mahapola Scholarships at the Buddhist & Pali University inSri Lankafor the academic year 2019-2020. The program is funded by the Ministry of Trade, Commerce and Consumer Affairs. Scholarships are available for pursuing theundergraduat","Eligible Countries: Sri Lankan students Supporting Documents:Aspirants need to attach the statement of purpose, letter of motivation, letter of motivation, transcript and curriculum vitae.Admission Requirements:For being accepted, candidates are recommended to hold their previous degree certificates with academic grades in the relevant subject area.Language Requirement:All claimants need to provide proof of their written and spoken English language. Eligibility Criteria: • Eligible Countries: Sr...",Award: 400,Applications are open,https://scholarship-positions.com/buddhist-pali-university-mahapola-scholarships-in-sri-lanka/2019/08/09/,Sri Lanka,various,various,unknown,Scholarship Positions
"The NCHS Academic Excellence Scholarship in Sri Lanka, 2020",Scholarship Positions,Merit-Based,Having a desire to pursue your career with an education award? Good News! Nawaloka College of Higher Studies is pleased to provide the NCHS Academic Excellence Scholarship for brilliant students. The purpose of this fund is to recognize students with outstanding academic achievements and help them s,Eligible Countries: Citizens from Sri Lanka and all around the world Admissible Criteria: Applicants must have to maintain an average final mark of 70% or higher for all Semester 1 subjects in order to be eligible to continue receiving the scholarship for the second Semester. They need to apply for the first Semester of full-time study at NCHS. Eligibility Criteria: • Eligible Countries: Citizens from Sri Lanka and all around the world • Acceptable Course or Subjects: Foundation Year and diploma...,,"February 7, 2020",https://scholarship-positions.com/the-nchs-academic-excellence-scholarship-in-sri-lanka/2019/05/22/,Sri Lanka,various,various,unknown,Scholarship Positions
"SLCSF Scholarships in Sri Lanka, 2019",Scholarship Positions,Merit-Based,"Sri Lanka – Canada Scholarship Foundation is offering scholarships to financially disadvantaged students in Sri Lanka, who continually demonstrate academic excellence. The main purpose of this program is to provide an advanced education by giving financial support and educational material to brillia","Eligible Countries: Citizens from Sri Lanka Acceptable Course or Subjects: Higher Secondary School Eligibility Criteria: • Eligible Countries: Citizens from Sri Lanka • Acceptable Course or Subjects: Higher Secondary School • Admissible Criteria: To be eligible for this grant, applicants must be a high school student, who has passed the most recent GCE (O/L) examination with a minimum of seven (7) A’s and currently studying for their GCE (Advanced Level) examination. • How to apply:For gaining t...",$360,"June 15, 2019",https://scholarship-positions.com/slcsf-scholarships-in-sri-lanka/2019/05/22/,Sri Lanka,various,various,unknown,Scholarship Positions
"AMDT Creative Scholarships for International Students in Sri Lanka, 2019",Scholarship Positions,General,"With the aiming of promoting creative educational enrichment, the AMDT, School of Creativity is offering Scholarships for the high performing students. The call is open for applicants from Sri Lanka and all around the world, who wish to study any one of the degree-level qualifications offered at AMD","Eligible Countries: Citizens from Sri Lanka and all around the world Acceptable Course or Subjects: Any degree-level qualifications offered by AMDT Eligibility Criteria: • Eligible Countries: Citizens from Sri Lanka and all around the world • Acceptable Course or Subjects: Any degree-level qualifications offered by AMDT • Admissible Criteria: To be eligible, aspirants need to be at least 18 years of age to apply. They must be passionate to journey into the Creative industry and help build Sri La...","LKR 300,000","August 31, 2019",https://scholarship-positions.com/amdt-creative-scholarships-in-sri-lanka/2019/05/22/,Sri Lanka,various,various,unknown,Scholarship Positions
Scholarships,SLIIT,Merit-Based,Entrance ScholarshipsScholarships for Continues StudentsNena DiriyaThis is offered to the student who ranks highest in the G.C.E (A/L) Mathematics or Commerce stream examination results in the country. The student will be eligible for a Full Tution fee waiver and a monthly stipend for the Academic Semester as a fulltime studentThe relevent student will be offered the Scholarship by the InstituteOutstanding Performance in Advanced Level Examination*3A* in Cambridge/Edexcel A/L OR 3As in local GC,N/A,,N/A,,Local,undergraduate,various,unknown,SLIIT
Nena Diriya,SLIIT,General,The relevent student will be offered the Scholarship by the Institute,N/A,,N/A,,Unknown,undergraduate,various,unknown,SLIIT
Outstanding Performance in Advanced Level Examination*,SLIIT,Merit-Based,"Application - Once enrolled, student is to contact the Student Services division with the details of the achievements.",N/A,,N/A,,Unknown,undergraduate,various,unknown,SLIIT
Outstanding Performance in Sports and Extra-curricular Activities in school*,SLIIT,Merit-Based,"Application - Once enrolled, student is to contact the Student Services division with the details of the achievements.",N/A,,N/A,,Unknown,undergraduate,various,unknown,SLIIT
Virusara Priviledge*,SLIIT,General,Application - at the point of enrollment,N/A,,N/A,,Unknown,undergraduate,various,unknown,SLIIT
Outstanding Performances in a Semester*,SLIIT,Merit-Based,The relevent student will be offered the Scholarship by the Institute,N/A,,N/A,,Unknown,undergraduate,various,unknown,SLIIT
Outstanding Performances in Sports and Extra-curricular Activities in the undergraduate period*,SLIIT,Merit-Based,"Application - Once enrolled, student is to contact the Student Services division with the details of the achievements.",N/A,,N/A,,Unknown,undergraduate,various,unknown,SLIIT
IFS – Merit-based Scholarships*,SLIIT,Merit-Based,Eligible applications are called by the Faculty via the Courseweb,N/A,,N/A,,Unknown,undergraduate,various,unknown,SLIIT
LOLC – Scholarships for SLIIT Undergraduates*,SLIIT,General,Eligible applications are called by the Faculty via the Courseweb,N/A,,N/A,,Sri Lanka,undergraduate,various,unknown,SLIIT
Phone,SLIIT,General,+94 11 754 4801,N/A,,N/A,,Unknown,undergraduate,various,unknown,SLIIT
Email,SLIIT,General,info@sliit.lk,N/A,,N/A,,Sri Lanka,undergraduate,various,unknown,SLIIT
Address,SLIIT,General,"New Kandy Road, Malabe",N/A,,N/A,https://www.sliit.lk,Unknown,undergraduate,various,unknown,SLIIT
About SLIIT,SLIIT,General,AboutProgrammesFacilitiesContact Us,N/A,,N/A,https://www.sliit.lk/about/about-sliit/,Sri Lanka,undergraduate,various,unknown,SLIIT
Main Events,SLIIT,General,Main EventsMathfestCodefestRobofestSoft Skills+Brain BustersCareer WeekOther Events,N/A,,N/A,https://www.sliit.lk/annual-events/,Unknown,undergraduate,various,unknown,SLIIT
Student Life,SLIIT,Talent-Based,Career Guidance and CounselingClubs & SocietiesStudent EventsStudent AccommodationsSports,N/A,,N/A,https://www.sliit.lk/student-life/career-guidance-and-counseling/,Unknown,undergraduate,various,unknown,SLIIT
Quick Links,SLIIT,General,Guidelines for VisitorsStaff LoginStudent LoginCareersVirtual TourSitemap,N/A,,N/A,https://www.sliit.lk/guidelines-for-visitors/,Unknown,undergraduate,various,unknown,SLIIT
SUBSCRIBE OUR NEWSLETTER,SLIIT,General,1Step 1Enter Your EmailSubmitPreviousNext,N/A,,N/A,http://www.weblankan.com/,Unknown,undergraduate,various,unknown,SLIIT
Copyright 2023 © SLIIT. All Rights Reserved. Concept designed and developed byWeb Lankan,SLIIT,General,N/A,N/A,,N/A,http://www.weblankan.com/,Sri Lanka,undergraduate,various,unknown,SLIIT
