skill_id,name,aliases,category,type
SK132,networking,networking,other,technical
SK133,threading,threading,other,technical
SK134,graphics,graphics,other,technical
SK135,testing,testing,other,technical
SK136,cloud computing,cloud computing,cloud,technical
SK137,ccna,ccna,other,technical
SK138,hardware engineer,hardware engineer,other,technical
SK139,system engineer,system engineer,other,technical
SK140,java programming,java programming,backend,technical
SK141,forms,forms,other,technical
SK142,mobile development,mobile development,other,technical
SK143,ios development,ios development,mobile,technical
SK144,hosting,hosting,other,technical
SK145,business analysis,business analysis,other,technical
SK146,objective c,objective c,other,technical
SK147,jee,jee,other,technical
SK148,business requirements,business requirements,other,technical
SK149,switching,switching,other,technical
SK150,perl,perl,other,technical
SK151,xcode,xcode,other,technical
SK152,web services,web services,other,technical
SK153,data entry,data entry,other,technical
SK154,ant,ant,other,technical
SK155,gateway,gateway,other,technical
SK156,routing,routing,other,technical
SK157,application development,application development,other,technical
SK158,android studio,android studio,mobile,technical
SK159,protocols,protocols,other,technical
SK160,ccnp,ccnp,other,technical
SK161,agile,agile,other,technical
SK162,lan,lan,other,technical
SK163,data entry operator,data entry operator,other,technical
SK164,consultant,consultant,other,technical
SK165,firewall,firewall,other,technical
SK166,coding,coding,other,technical
SK167,shell scripting,shell scripting,other,technical
SK168,vpn,vpn,other,technical
SK169,network configuration maintenance,network configuration maintenance,ml_ai,technical
SK170,routing protocols,routing protocols,other,technical
SK171,jsf,jsf,frontend,technical
SK172,computer operator,computer operator,other,technical
SK173,dns,dns,other,technical
SK174,microsoft azure,microsoft azure,cloud,technical
SK175,hbase,hbase,other,technical
SK176,sql database,sql database,database,technical
SK177,data analysis,data analysis,analytics,technical
SK178,web api,web api,other,technical
SK179,soa,soa,other,technical
SK180,iphone,iphone,other,technical
SK181,aws,aws,cloud,technical
SK182,configuration,configuration,other,technical
SK183,weblogic,weblogic,other,technical
SK184,technical requirements,technical requirements,other,technical
SK185,elastic search,elastic search,other,technical
SK186,mockito,mockito,other,technical
SK187,operating system,operating system,other,technical
SK188,project delivery,project delivery,other,technical
SK189,spring security,spring security,backend,technical
SK190,middleware,middleware,other,technical
SK191,sybase,sybase,other,technical
SK192,etl,etl,other,technical
SK193,websphere,websphere,other,technical
SK194,natural language processing,natural language processing,other,technical
SK195,visual studio,visual studio,other,technical
SK196,microsoft technologies,microsoft technologies,other,technical
SK197,windows server,windows server,other,technical
SK198,entity framework,entity framework,other,technical
SK199,phonegap,phonegap,other,technical
SK200,leadership skills,leadership skills,soft_skill,soft
SK201,it hardware engineer,it hardware engineer,other,technical
SK202,installation,installation,other,technical
SK203,zend,zend,other,technical
SK204,sqlite,sqlite,database,technical
SK205,design patterns,design patterns,other,technical
SK206,production support,production support,other,technical
SK207,global delivery,global delivery,other,technical
SK208,juniper,juniper,other,technical
SK209,network administrator,network administrator,other,technical
SK210,yii,yii,other,technical
SK211,games,games,other,technical
SK212,splunk,splunk,other,technical
SK213,mvc framework,mvc framework,other,technical
SK214,mpls,mpls,other,technical
SK215,application performance,application performance,other,technical
SK216,pmp,pmp,other,technical
SK217,tableau,tableau,analytics,technical
SK218,system architecture,system architecture,other,technical
SK219,cakephp,cakephp,backend,technical
SK220,groovy,groovy,other,technical
SK221,eigrp,eigrp,other,technical
SK222,j2ee technologies,j2ee technologies,other,technical
SK223,technical support engineer,technical support engineer,other,technical
SK224,authoring,authoring,other,technical
SK225,it manager,it manager,other,technical
SK226,use cases,use cases,other,technical
SK227,iam,iam,other,technical
SK228,image processing,image processing,other,technical
SK229,web programming,web programming,other,technical
SK230,technology consulting,technology consulting,other,technical
SK231,ios sdk,ios sdk,mobile,technical
SK232,senior network engineer,senior network engineer,other,technical
SK233,program management,program management,other,technical
SK234,database management,database management,database,technical
SK235,ipsec,ipsec,other,technical
SK236,router,router,other,technical
SK237,ipad,ipad,other,technical
SK238,multimedia,multimedia,other,technical
SK239,computer science,computer science,devops,technical
SK240,salesforce,salesforce,other,technical
SK241,requirement gathering,requirement gathering,other,technical
SK242,data engineer,data engineer,other,technical
SK243,cocoa,cocoa,other,technical
SK244,hdfs,hdfs,other,technical
SK245,voip,voip,other,technical
SK246,mvc architecture,mvc architecture,other,technical
SK247,cli,cli,other,technical
SK248,grunt,grunt,other,technical
SK249,project life cycle,project life cycle,other,technical
SK250,dhcp,dhcp,other,technical
SK251,c ++,c ++,other,technical
SK252,mqtt,mqtt,other,technical
SK253,data analytics,data analytics,analytics,technical
SK254,information systems,information systems,other,technical
SK255,computer engineering,computer engineering,other,technical
SK256,xamarin,xamarin,other,technical
SK257,production environment,production environment,other,technical
SK258,mobile application development,mobile application development,other,technical
SK259,system administration,system administration,other,technical
SK260,desktop support engineer,desktop support engineer,other,technical
SK261,jira,jira,other,technical
SK262,advanced java,advanced java,backend,technical
SK263,brd,brd,other,technical
SK264,soap web services,soap web services,other,technical
SK265,android,android,mobile,technical
SK266,functional requirements,functional requirements,other,technical
SK267,apache tomcat,apache tomcat,other,technical
SK268,security compliance,security compliance,other,technical
SK269,intellij,intellij,other,technical
SK270,dashboards,dashboards,other,technical
SK271,troubleshooting,troubleshooting,other,technical
SK272,database administrator,database administrator,database,technical
SK273,data visualization,data visualization,other,technical
SK274,pig,pig,other,technical
SK275,oozie,oozie,other,technical
SK276,cisco routers,cisco routers,devops,technical
SK277,data science,data science,devops,technical
SK278,triggers,triggers,other,technical
SK279,mobile applications,mobile applications,other,technical
SK280,senior web developer,senior web developer,other,technical
SK281,system admin,system admin,other,technical
SK282,implementation,implementation,other,technical
SK283,stp,stp,other,technical
SK284,user stories,user stories,other,technical
SK285,programming,programming,other,technical
SK286,software testing,software testing,other,technical
SK287,ubuntu,ubuntu,other,technical
SK288,desktop engineer,desktop engineer,other,technical
SK289,mvp,mvp,other,technical
SK290,operator,operator,other,technical
SK291,ejb,ejb,other,technical
SK292,director,director,other,technical
SK293,java script,java script,backend,technical
SK294,lamp,lamp,other,technical
SK295,mentor,mentor,other,technical
SK296,business process,business process,other,technical
SK297,hsrp,hsrp,other,technical
SK298,project plan,project plan,other,technical
SK299,business applications,business applications,other,technical
SK300,opencart,opencart,other,technical
SK301,rust,"rust,rust-lang,rustlang",backend,technical
SK302,go,"go,golang,go-lang",backend,technical
SK303,kotlin,"kotlin,kt",backend,technical
SK304,dart,"dart,dartlang",frontend,technical
SK305,julia,"julia,julialang",data,technical
SK306,elixir,"elixir,ex",backend,technical
SK307,haskell,"haskell,hs",backend,technical
SK308,clojure,"clojure,clj",backend,technical
SK309,erlang,"erlang,erl",backend,technical
SK310,f#,"fsharp,f#,f-sharp",backend,technical
SK311,r programming,"r,r-lang,r programming,rstats",data,technical
SK312,typescript,"typescript,ts",frontend,technical
SK313,lua,lua,backend,technical
SK314,fortran,fortran,backend,technical
SK315,cobol,cobol,backend,technical
SK316,assembly,"assembly,asm",embedded,technical
SK317,matlab,"matlab,mat",data,technical
SK318,vba,"vba,visual basic for applications",backend,technical
SK319,powershell,"powershell,ps1,pwsh",devops,technical
SK320,bash scripting,"bash,bash scripting,sh,shell",devops,technical
SK321,solidity,"solidity,sol",blockchain,technical
SK322,prolog,prolog,ai_ml,technical
SK323,lisp,"lisp,common lisp",ai_ml,technical
SK324,ocaml,"ocaml,ml",backend,technical
SK325,zig,"zig,ziglang",backend,technical
SK326,nim,"nim,nimlang",backend,technical
SK327,crystal,"crystal,crystallang",backend,technical
SK328,v lang,"vlang,v lang,v",backend,technical
SK329,d language,"d,dlang,d language",backend,technical
SK330,mojo,"mojo,mojo lang",ai_ml,technical
SK331,carbon,"carbon,carbon language",backend,technical
SK332,hack,"hack,hacklang",backend,technical
SK333,gdscript,"gdscript,gd script",game_dev,technical
SK334,verilog,"verilog,system verilog",embedded,technical
SK335,vhdl,vhdl,embedded,technical
SK336,tcl,"tcl,tcl/tk",backend,technical
SK337,pascal,"pascal,delphi,object pascal",backend,technical
SK338,scheme,"scheme,racket",backend,technical
SK339,ada,ada,embedded,technical
SK340,apex,"apex,salesforce apex",cloud,technical
SK341,abap,"abap,sap abap",backend,technical
SK342,groovy scripting,"groovy script,groovy scripting",devops,technical
SK343,coffeescript,"coffeescript,coffee",frontend,technical
SK344,wasm,"wasm,webassembly,web assembly",frontend,technical
SK345,glsl,"glsl,opengl shading",game_dev,technical
SK346,hlsl,"hlsl,high level shading",game_dev,technical
SK347,cuda programming,"cuda,cuda programming,nvidia cuda",ai_ml,technical
SK348,openmp,"openmp,open mp",backend,technical
SK349,mpi,"mpi,message passing interface",backend,technical
SK350,cython,cython,backend,technical
SK351,react,"react,reactjs,react.js,react js",frontend,technical
SK352,vue.js,"vue,vuejs,vue.js,vue 3",frontend,technical
SK353,angular,"angular,angular 17,angular 18",frontend,technical
SK354,next.js,"nextjs,next.js,next js",fullstack,technical
SK355,nuxt.js,"nuxtjs,nuxt.js,nuxt",fullstack,technical
SK356,svelte,"svelte,sveltejs",frontend,technical
SK357,sveltekit,"sveltekit,svelte kit",fullstack,technical
SK358,remix,"remix,remix run",fullstack,technical
SK359,astro,"astro,astro build",frontend,technical
SK360,solid.js,"solidjs,solid.js,solid js",frontend,technical
SK361,qwik,"qwik,qwik js",frontend,technical
SK362,ember.js,"ember,emberjs,ember.js",frontend,technical
SK363,backbone.js,"backbone,backbonejs,backbone.js",frontend,technical
SK364,alpine.js,"alpinejs,alpine.js,alpine js",frontend,technical
SK365,htmx,htmx,frontend,technical
SK366,tailwind css,"tailwind,tailwindcss,tailwind css",frontend,technical
SK367,sass,"sass,scss",frontend,technical
SK368,styled components,"styled-components,styled components,css-in-js",frontend,technical
SK369,material ui,"mui,material ui,material-ui",frontend,technical
SK370,chakra ui,"chakra,chakra ui,chakra-ui",frontend,technical
SK371,ant design,"antd,ant design,ant-design",frontend,technical
SK372,storybook,storybook,frontend,technical
SK373,webpack,webpack,frontend,technical
SK374,vite,"vite,vitejs",frontend,technical
SK375,esbuild,esbuild,frontend,technical
SK376,turbopack,turbopack,frontend,technical
SK377,rollup,"rollup,rollupjs",frontend,technical
SK378,parcel,"parcel,parceljs",frontend,technical
SK379,flask,"flask,python flask",backend,technical
SK380,fastapi,"fastapi,fast api,fast-api",backend,technical
SK381,express.js,"express,expressjs,express.js",backend,technical
SK382,nestjs,"nestjs,nest.js,nest js",backend,technical
SK383,koa.js,"koa,koajs,koa.js",backend,technical
SK384,hapi.js,"hapi,hapijs,hapi.js",backend,technical
SK385,fastify,fastify,backend,technical
SK386,adonis.js,"adonisjs,adonis.js,adonis",backend,technical
SK387,ruby on rails,"rails,ruby on rails,ror",backend,technical
SK388,sinatra,"sinatra,ruby sinatra",backend,technical
SK389,asp.net core,"asp.net core,dotnet core,.net core",backend,technical
SK390,blazor,"blazor,blazor wasm",fullstack,technical
SK391,gin,"gin,gin-gonic,go gin",backend,technical
SK392,echo go,"echo,go echo,echo framework",backend,technical
SK393,fiber go,"fiber,go fiber,fiber framework",backend,technical
SK394,actix web,"actix,actix-web,actix web",backend,technical
SK395,rocket rust,"rocket,rust rocket",backend,technical
SK396,phoenix,"phoenix,elixir phoenix",backend,technical
SK397,play framework,"play,play framework,scala play",backend,technical
SK398,micronaut,micronaut,backend,technical
SK399,quarkus,"quarkus,quarkus io",backend,technical
SK400,vert.x,"vertx,vert.x,eclipse vert.x",backend,technical
SK401,graphql,"graphql,gql,graph ql",backend,technical
SK402,apollo graphql,"apollo,apollo graphql,apollo server",backend,technical
SK403,prisma,"prisma,prisma orm",backend,technical
SK404,sequelize,sequelize,backend,technical
SK405,typeorm,"typeorm,type orm",backend,technical
SK406,drizzle orm,"drizzle,drizzle orm",backend,technical
SK407,sqlalchemy,"sqlalchemy,sql alchemy",backend,technical
SK408,deno,"deno,deno js",backend,technical
SK409,bun,"bun,bunjs,bun runtime",backend,technical
SK410,grpc,"grpc,grpc api,g-rpc",backend,technical
SK411,trpc,"trpc,t-rpc,trpc api",fullstack,technical
SK412,redux,"redux,redux toolkit,rtk",frontend,technical
SK413,zustand,zustand,frontend,technical
SK414,mobx,"mobx,mob-x",frontend,technical
SK415,recoil,"recoil,recoiljs",frontend,technical
SK416,pinia,pinia,frontend,technical
SK417,tanstack query,"tanstack,react query,tanstack query",frontend,technical
SK418,gatsby,"gatsby,gatsbyjs",frontend,technical
SK419,eleventy,"eleventy,11ty",frontend,technical
SK420,hugo,"hugo,gohugo",frontend,technical
SK421,jekyll,jekyll,frontend,technical
SK422,three.js,"threejs,three.js,three js,webgl",frontend,technical
SK423,d3.js,"d3,d3js,d3.js,d3 visualization",frontend,technical
SK424,cypress,"cypress,cypress io",frontend,technical
SK425,playwright,"playwright,ms playwright",frontend,technical
SK426,puppeteer,puppeteer,frontend,technical
SK427,selenium,"selenium,selenium webdriver",frontend,technical
SK428,jest,"jest,jestjs",frontend,technical
SK429,vitest,vitest,frontend,technical
SK430,mocha,"mocha,mochajs",frontend,technical
SK431,aws lambda,"lambda,aws lambda,serverless,faas",cloud,technical
SK432,aws s3,"s3,aws s3,simple storage service",cloud,technical
SK433,aws ec2,"ec2,aws ec2,elastic compute cloud",cloud,technical
SK434,aws rds,"rds,aws rds,relational database service",cloud,technical
SK435,aws dynamodb,"dynamodb,aws dynamodb,dynamo db",cloud,technical
SK436,aws cloudformation,"cloudformation,aws cloudformation,cfn",cloud,technical
SK437,aws eks,"eks,aws eks,elastic kubernetes service",cloud,technical
SK438,aws ecs,"ecs,aws ecs,elastic container service",cloud,technical
SK439,aws fargate,"fargate,aws fargate",cloud,technical
SK440,aws sqs,"sqs,aws sqs,simple queue service",cloud,technical
SK441,aws sns,"sns,aws sns,simple notification service",cloud,technical
SK442,aws kinesis,"kinesis,aws kinesis,data streams",cloud,technical
SK443,aws step functions,"step functions,aws step functions,sfn",cloud,technical
SK444,aws api gateway,"api gateway,aws api gateway,apigw",cloud,technical
SK445,aws cloudwatch,"cloudwatch,aws cloudwatch",cloud,technical
SK446,aws iam,"aws iam,iam policies,identity access management",cloud,technical
SK447,aws vpc,"vpc,aws vpc,virtual private cloud",cloud,technical
SK448,aws route 53,"route53,route 53,aws route 53,dns service",cloud,technical
SK449,aws cloudfront,"cloudfront,aws cloudfront,cdn",cloud,technical
SK450,aws elasticache,"elasticache,aws elasticache,redis aws",cloud,technical
SK451,aws redshift,"redshift,aws redshift,data warehouse aws",cloud,technical
SK452,aws glue,"glue,aws glue,etl aws",cloud,technical
SK453,aws athena,"athena,aws athena,serverless sql",cloud,technical
SK454,aws sagemaker,"sagemaker,aws sagemaker,ml aws",cloud,technical
SK455,aws cdk,"cdk,aws cdk,cloud development kit",cloud,technical
SK456,aws amplify,"amplify,aws amplify",cloud,technical
SK457,aws cognito,"cognito,aws cognito,auth aws",cloud,technical
SK458,aws secrets manager,"secrets manager,aws secrets manager",cloud,technical
SK459,aws eventbridge,"eventbridge,aws eventbridge,event bus",cloud,technical
SK460,aws codecommit,"codecommit,aws codecommit",cloud,technical
SK461,aws codepipeline,"codepipeline,aws codepipeline,cicd aws",cloud,technical
SK462,aws codebuild,"codebuild,aws codebuild",cloud,technical
SK463,aws codedeploy,"codedeploy,aws codedeploy",cloud,technical
SK464,aws elastic beanstalk,"elastic beanstalk,beanstalk,eb",cloud,technical
SK465,aws aurora,"aurora,aws aurora,aurora db",cloud,technical
SK466,aws documentdb,"documentdb,aws documentdb",cloud,technical
SK467,aws emr,"emr,aws emr,elastic mapreduce",cloud,technical
SK468,aws msk,"msk,aws msk,managed kafka",cloud,technical
SK469,aws waf,"waf,aws waf,web application firewall",cloud,technical
SK470,aws organizations,"aws organizations,aws org,multi-account",cloud,technical
SK471,azure app service,"app service,azure app service,azure web app",cloud,technical
SK472,azure functions,"azure functions,az functions,serverless azure",cloud,technical
SK473,azure cosmos db,"cosmosdb,cosmos db,azure cosmos db",cloud,technical
SK474,azure kubernetes service,"aks,azure kubernetes,azure aks",cloud,technical
SK475,azure devops,"azure devops,ado,azure pipelines",cloud,technical
SK476,azure sql database,"azure sql,azure sql database",cloud,technical
SK477,azure blob storage,"blob storage,azure blob,azure storage",cloud,technical
SK478,azure active directory,"azure ad,aad,entra id,azure active directory",cloud,technical
SK479,azure virtual machines,"azure vm,azure virtual machines,az vm",cloud,technical
SK480,azure container instances,"aci,azure container instances,az container",cloud,technical
SK481,azure container apps,"azure container apps,aca",cloud,technical
SK482,azure event hub,"event hub,azure event hub,eventhub",cloud,technical
SK483,azure service bus,"service bus,azure service bus,asb",cloud,technical
SK484,azure key vault,"key vault,azure key vault,akv",cloud,technical
SK485,azure logic apps,"logic apps,azure logic apps",cloud,technical
SK486,azure data factory,"data factory,adf,azure data factory",cloud,technical
SK487,azure synapse analytics,"synapse,azure synapse,synapse analytics",cloud,technical
SK488,azure machine learning,"azure ml,azure machine learning,azureml",cloud,technical
SK489,azure cognitive services,"cognitive services,azure cognitive,ai services",cloud,technical
SK490,azure monitor,"azure monitor,application insights,az monitor",cloud,technical
SK491,azure front door,"front door,azure front door,afd",cloud,technical
SK492,azure cdn,azure cdn,cloud,technical
SK493,azure api management,"apim,azure api management,az apim",cloud,technical
SK494,azure redis cache,"azure redis,azure redis cache",cloud,technical
SK495,azure databricks,"databricks,azure databricks",cloud,technical
SK496,azure openai service,"azure openai,azure gpt,aoai",cloud,technical
SK497,azure static web apps,"static web apps,azure swa",cloud,technical
SK498,azure bicep,"bicep,azure bicep,arm bicep",cloud,technical
SK499,azure terraform,"azure terraform,terraform azure",cloud,technical
SK500,azure sentinel,"sentinel,azure sentinel,siem azure",cloud,technical
SK501,google compute engine,"compute engine,gce,google compute",cloud,technical
SK502,google cloud functions,"cloud functions,gcf,google functions",cloud,technical
SK503,google bigquery,"bigquery,bq,google bigquery",cloud,technical
SK504,google kubernetes engine,"gke,google kubernetes,gke cluster",cloud,technical
SK505,google cloud run,"cloud run,google cloud run,gcloud run",cloud,technical
SK506,google cloud storage,"gcs,google cloud storage,cloud storage",cloud,technical
SK507,google pub/sub,"pubsub,pub/sub,google pub sub",cloud,technical
SK508,google cloud sql,"cloud sql,google cloud sql",cloud,technical
SK509,google firestore,"firestore,google firestore,cloud firestore",cloud,technical
SK510,google spanner,"spanner,cloud spanner,google spanner",cloud,technical
SK511,google dataflow,"dataflow,google dataflow,apache beam gcp",cloud,technical
SK512,google dataproc,"dataproc,google dataproc,hadoop gcp",cloud,technical
SK513,google vertex ai,"vertex ai,google vertex,vertex ml",cloud,technical
SK514,google cloud composer,"cloud composer,google composer,airflow gcp",cloud,technical
SK515,google cloud build,"cloud build,google cloud build,gcb",cloud,technical
SK516,google artifact registry,"artifact registry,gar,google artifact",cloud,technical
SK517,google cloud armor,"cloud armor,google armor,ddos gcp",cloud,technical
SK518,google cloud iam,"gcp iam,google cloud iam",cloud,technical
SK519,google cloud cdn,"google cdn,cloud cdn,gcp cdn",cloud,technical
SK520,google cloud logging,"cloud logging,stackdriver,gcp logging",cloud,technical
SK521,google cloud monitoring,"cloud monitoring,gcp monitoring",cloud,technical
SK522,google apigee,"apigee,google apigee,api management gcp",cloud,technical
SK523,google anthos,"anthos,google anthos,hybrid cloud gcp",cloud,technical
SK524,google cloud memorystore,"memorystore,gcp redis,gcp memcached",cloud,technical
SK525,google alloydb,"alloydb,google alloydb",cloud,technical
SK526,google cloud tasks,"cloud tasks,google tasks",cloud,technical
SK527,google cloud scheduler,"cloud scheduler,google scheduler",cloud,technical
SK528,google looker,"looker,google looker,looker studio",cloud,technical
SK529,google firebase,"firebase,google firebase,fcm",cloud,technical
SK530,google cloud endpoints,"cloud endpoints,google endpoints",cloud,technical
SK531,tensorflow,"tensorflow,tf,tensorflow 2",ai_ml,technical
SK532,pytorch,"pytorch,torch",ai_ml,technical
SK533,keras,keras,ai_ml,technical
SK534,scikit-learn,"sklearn,scikit-learn,scikit learn",ai_ml,technical
SK535,hugging face transformers,"huggingface,hugging face,transformers,hf",ai_ml,technical
SK536,jax,"jax,google jax",ai_ml,technical
SK537,xgboost,"xgboost,xgb",ai_ml,technical
SK538,lightgbm,"lightgbm,lgbm,light gbm",ai_ml,technical
SK539,catboost,catboost,ai_ml,technical
SK540,fastai,"fastai,fast.ai",ai_ml,technical
SK541,onnx,"onnx,open neural network exchange",ai_ml,technical
SK542,pandas,"pandas,pd",data,technical
SK543,numpy,"numpy,np",data,technical
SK544,scipy,scipy,data,technical
SK545,matplotlib,"matplotlib,mpl",data,technical
SK546,seaborn,"seaborn,sns",data,technical
SK547,plotly,"plotly,plotly express",data,technical
SK548,statsmodels,statsmodels,data,technical
SK549,polars,polars,data,technical
SK550,dask,"dask,dask distributed",data,technical
SK551,large language models,"llm,large language models,llms",ai_ml,technical
SK552,gpt models,"gpt,gpt-4,gpt-3.5,chatgpt,openai gpt",ai_ml,technical
SK553,bert,"bert,distilbert,roberta",ai_ml,technical
SK554,langchain,"langchain,lang chain",ai_ml,technical
SK555,llamaindex,"llamaindex,llama index,gpt index",ai_ml,technical
SK556,retrieval augmented generation,"rag,retrieval augmented generation",ai_ml,technical
SK557,prompt engineering,"prompt engineering,prompt design,prompting",ai_ml,technical
SK558,fine tuning llms,"fine tuning,fine-tuning,finetuning,lora,qlora",ai_ml,technical
SK559,vector databases,"vector db,vector databases,vector store",ai_ml,technical
SK560,embeddings,"embeddings,word embeddings,sentence embeddings",ai_ml,technical
SK561,openai api,"openai api,openai,chatgpt api",ai_ml,technical
SK562,anthropic claude,"claude,anthropic,claude api",ai_ml,technical
SK563,stable diffusion,"stable diffusion,sd,diffusion models",ai_ml,technical
SK564,midjourney,"midjourney,midjourney ai",ai_ml,technical
SK565,ai agents,"ai agents,autonomous agents,agent framework",ai_ml,technical
SK566,autogen,"autogen,microsoft autogen",ai_ml,technical
SK567,crewai,"crewai,crew ai",ai_ml,technical
SK568,semantic kernel,"semantic kernel,sk,microsoft semantic kernel",ai_ml,technical
SK569,llama,"llama,llama 2,llama 3,meta llama",ai_ml,technical
SK570,mistral,"mistral,mistral ai,mixtral",ai_ml,technical
SK571,gemini api,"gemini,google gemini,gemini api",ai_ml,technical
SK572,copilot integration,"copilot,github copilot,ai coding assistant",ai_ml,technical
SK573,ai ethics,"ai ethics,responsible ai,ai fairness,ai bias",ai_ml,technical
SK574,generative ai,"genai,generative ai,generative artificial intelligence",ai_ml,technical
SK575,multimodal ai,"multimodal,multimodal ai,vision language model",ai_ml,technical
SK576,mlflow,"mlflow,ml flow",ai_ml,technical
SK577,kubeflow,"kubeflow,kube flow",ai_ml,technical
SK578,weights and biases,"wandb,weights and biases,w&b",ai_ml,technical
SK579,dvc,"dvc,data version control",ai_ml,technical
SK580,feature store,"feature store,feast,tecton",ai_ml,technical
SK581,model serving,"model serving,model deployment,model inference",ai_ml,technical
SK582,triton inference server,"triton,triton inference,nvidia triton",ai_ml,technical
SK583,bentoml,"bentoml,bento ml",ai_ml,technical
SK584,seldon core,"seldon,seldon core",ai_ml,technical
SK585,ml monitoring,"ml monitoring,model monitoring,data drift",ai_ml,technical
SK586,experiment tracking,"experiment tracking,ml experiments",ai_ml,technical
SK587,model registry,"model registry,ml model registry",ai_ml,technical
SK588,label studio,"label studio,data labeling,annotation tool",ai_ml,technical
SK589,great expectations,"great expectations,data validation,ge",data,technical
SK590,evidently ai,"evidently,evidently ai,ml observability",ai_ml,technical
