job_uid,job_title,job_title_clean,role_id,role_title,matched_skill_ids,matched_skills,matched_skill_count,experience_level,education_level,domain,current_status,job_type_clean
JOBS_000053,"Business Analyst (English, Agile)",Business Analyst (Entry Level),JR_BUSINESS_ANALYST,Business Analyst (Entry Level),SK161;SK157;SK067;SK145;SK148;SK225;SK102;SK041;SK122;SK068,agile;application development;business;business analysis;business requirements;it;project;software;software development;solution,10,1-3,diploma,DATA,working,full_time
JOBS_000054,Business Analyst Manager (Agile),Business Analyst (Entry Level),JR_BUSINESS_ANALYST,Business Analyst (Entry Level),SK161;SK067;SK145;SK296;SK148;SK225;SK007;SK102;SK188;SK041;SK122;SK068;SK117;SK038,agile;business;business analysis;business process;business requirements;it;mobile;project;project delivery;software;software development;solution;system;team player,14,1-3,bachelors,DATA,working,full_time
JOBS_000057,Manual Test Engineer (Tester/QA QC),QA Engineer (Entry Level),JR_QA_ENG,QA Engineer (Entry Level),SK161;SK225;SK001;SK028;SK041;SK286;SK117;SK135;SK284,agile;it;java;problem solving;software;software testing;system;testing;user stories,9,0-1,bachelors,QA,graduate,full_time
JOBS_000058,"Product Owner (Business Analyst,English)",Business Analyst (Entry Level),JR_BUSINESS_ANALYST,Business Analyst (Entry Level),SK161;SK067;SK182;SK124;SK282;SK045;SK225;SK261;SK028;SK102;SK041;SK040;SK068;SK117,agile;business;configuration;data;implementation;information technology;it;jira;problem solving;project;software;software engineering;solution;system,14,1-3,bachelors,DATA,working,full_time
JOBS_000066,"Data Engineer (Java, Python, Scala)",Data Engineer (Entry Level),DATA_ENGINEER_INT,Data Engineer (Entry Level),SK161;SK058;SK043;SK124;SK177;SK001;SK020;SK039;SK004;SK085;SK041;SK040;SK068;SK003;SK117,agile;apache;big data;data;data analysis;java;linux;nosql;python;scala;software;software engineering;solution;sql;system,15,5+,bachelors,DATA,working,full_time
JOBS_000073,Manual QC/QA Engineer (Tester),QA Engineer (Entry Level),JR_QA_ENG,QA Engineer (Entry Level),SK067;SK124;SK225;SK028;SK102;SK135;SK026,business;data;it;problem solving;project;testing;web,7,1-3,bachelors,QA,working,full_time
JOBS_000080,Mobile Developer (iOS & Android),Junior Mobile Developer,JR_MOBILE_DEV,Junior Mobile Developer,SK161;SK070;SK055;SK007;SK285;SK068;SK078,agile;android;ios;mobile;programming;solution;swift,7,1-3,bachelors,MOBILE,working,full_time
JOBS_000086,BA IT/ Business Analyst IT,Business Analyst (Entry Level),JR_BUSINESS_ANALYST,Business Analyst (Entry Level),SK067;SK225,business;it,2,0-1,bachelors,DATA,graduate,full_time
JOBS_000089,"Mobile Developer (iOS,Android)",Junior Mobile Developer,JR_MOBILE_DEV,Junior Mobile Developer,SK070;SK055;SK001;SK007;SK146;SK003;SK078;SK026,android;ios;java;mobile;objective c;sql;swift;web,8,0-1,bachelors,MOBILE,graduate,full_time
JOBS_000090,Data Science/ Data Analyst (BI),Data Analyst (Entry Level),DATA_ANALYST_INT,Data Analyst (Entry Level),SK124;SK115,data;data mining,2,0-1,bachelors,DATA,graduate,full_time
JOBS_000091,Front End Developer (NodeJs),Junior Frontend Developer,JR_FE_DEV,Junior Frontend Developer,SK058;SK067;SK003,apache;business;sql,3,0-1,bachelors,SOFTWARE_ENGINEERING,graduate,full_time
JOBS_000098,"Fullstack Developer (Java,C#,...)",Junior Full-Stack Developer,JR_FS_DEV,Junior Full-Stack Developer,SK001;SK003;SK026;SK193,java;sql;web;websphere,4,0-1,bachelors,SOFTWARE_ENGINEERING,graduate,full_time
JOBS_000102,IT Internal Control Professional,Software Engineering Intern,INTERN_SE,Software Engineering Intern,SK225,it,1,student,bachelors,SOFTWARE_ENGINEERING,student,full_time
JOBS_000103,UI UX Designer,UI/UX Designer (Entry Level),JR_UI_UX_DESIGNER,UI/UX Designer (Entry Level),SK161;SK007,agile;mobile,2,0-1,bachelors,UI_UX,graduate,full_time
JOBS_000108,Digital Data Engineer,Data Engineer (Entry Level),DATA_ENGINEER_INT,Data Engineer (Entry Level),SK043;SK124;SK012;SK192;SK001;SK039;SK004;SK003,big data;data;database;etl;java;nosql;python;sql,8,0-1,bachelors,DATA,graduate,full_time
JOBS_000109,Digital Data Analyst,Data Analyst (Entry Level),DATA_ANALYST_INT,Data Analyst (Entry Level),SK124;SK115;SK012,data;data mining;database,3,0-1,bachelors,DATA,graduate,full_time
JOBS_000117,"Product Owner (Business Analyst, UI-UX)",Business Analyst (Entry Level),JR_BUSINESS_ANALYST,Business Analyst (Entry Level),SK067;SK124;SK007,business;data;mobile,3,1-3,bachelors,DATA,working,full_time
JOBS_000118,2 Business Analyst (Agile),Business Analyst (Entry Level),JR_BUSINESS_ANALYST,Business Analyst (Entry Level),SK161;SK067;SK145;SK148;SK282;SK102;SK117;SK135,agile;business;business analysis;business requirements;implementation;project;system;testing,8,5+,bachelors,DATA,working,full_time
JOBS_000120,3 Senior Full Stack Developer,Junior Full-Stack Developer,JR_FS_DEV,Junior Full-Stack Developer,SK105;SK011;SK019;SK039;SK094;SK032;SK017;SK088;SK016;SK003;SK026,cassandra;infrastructure;json;nosql;oop;oracle;php;ruby;security;sql;web,11,5+,bachelors,SOFTWARE_ENGINEERING,working,full_time
JOBS_000123,"Senior Android Developer (Kotlin, MVVM)",Junior Mobile Developer,JR_MOBILE_DEV,Junior Mobile Developer,SK034;SK070;SK158;SK124;SK044;SK012;SK002;SK019;SK007;SK114;SK098;SK041;SK035;SK284;SK026,algorithms;android;android studio;data;data structures;database;javascript;json;mobile;multithreading;mvvm;software;storage;user stories;web,15,5+,bachelors,MOBILE,working,full_time
JOBS_000125,Senior Data Engineer,Data Engineer (Entry Level),DATA_ENGINEER_INT,Data Engineer (Entry Level),SK067;SK124;SK253;SK012;SK192;SK004;SK003;SK038,business;data;data analytics;database;etl;python;sql;team player,8,5+,bachelors,DATA,working,full_time
JOBS_000128,Senior Site Reliability Engineer,DevOps / Cloud Trainee,DEVOPS_TRAINEE,DevOps / Cloud Trainee,SK161;SK067;SK136;SK005;SK124;SK024;SK011;SK225;SK007;SK132;SK117;SK038;SK271;SK026,agile;business;cloud computing;css;data;devops;infrastructure;it;mobile;networking;system;team player;troubleshooting;web,14,5+,bachelors,DEVOPS,working,full_time
JOBS_000131,QA Engineer - Manual,QA Engineer (Entry Level),JR_QA_ENG,QA Engineer (Entry Level),SK028;SK102;SK041;SK286;SK080;SK135;SK061,problem solving;project;software;software testing;technical skills;testing;windows,7,1-3,bachelors,QA,working,full_time
JOBS_000133,Senior Backend Engineer - Golang,Junior Backend Developer,JR_BE_DEV,Junior Backend Developer,SK161;SK166;SK005;SK124;SK024;SK225;SK007;SK132;SK004;SK075;SK016;SK117;SK038;SK026,agile;coding;css;data;devops;it;mobile;networking;python;rdbms;security;system;team player;web,14,5+,bachelors,SOFTWARE_ENGINEERING,working,full_time
JOBS_000135,Senior Frontend Engineer (ReactJS),Junior Frontend Developer,JR_FE_DEV,Junior Frontend Developer,SK161;SK103;SK006;SK002;SK041;SK122;SK026;SK052,agile;asp.net;html;javascript;software;software development;web;web development,8,5+,bachelors,SOFTWARE_ENGINEERING,working,full_time
JOBS_000136,"Business Intelligence Engineer (BI, SQL)",Data Analyst (Entry Level),DATA_ANALYST_INT,Data Analyst (Entry Level),SK161;SK067;SK148;SK270;SK124;SK129;SK192;SK282;SK011;SK225;SK102;SK004;SK041;SK122;SK003;SK080;SK050,agile;business;business requirements;dashboards;data;data warehousing;etl;implementation;infrastructure;it;project;python;software;software development;sql;technical skills;written communication,17,5+,bachelors,DATA,working,full_time
JOBS_000137,Lead Android Engineer (Java/Kotlin),Junior Mobile Developer,JR_MOBILE_DEV,Junior Mobile Developer,SK161;SK070;SK083;SK067;SK282;SK001;SK019;SK007;SK279;SK041;SK122;SK135,agile;android;android development;business;implementation;java;json;mobile;mobile applications;software;software development;testing,12,5+,bachelors,MOBILE,working,full_time
JOBS_000139,"Sr Backend Engineer (.NET,Microservices)",Junior Backend Developer,JR_BE_DEV,Junior Backend Developer,SK049;SK161;SK181;SK012;SK024;SK185;SK041;SK122;SK040;SK003;SK135;SK026;SK052,.net;agile;aws;database;devops;elastic search;software;software development;software engineering;sql;testing;web;web development,13,5+,bachelors,SOFTWARE_ENGINEERING,working,full_time
JOBS_000141,FE Mobile Developer (Open all levels),Junior Mobile Developer,JR_MOBILE_DEV,Junior Mobile Developer,SK108;SK005;SK124;SK006;SK002;SK007;SK028;SK041;SK068;SK135,crm;css;data;html;javascript;mobile;problem solving;software;solution;testing,10,0-1,bachelors,MOBILE,graduate,full_time
JOBS_000146,Technical Support Engineer,IT Support / Helpdesk (Entry Level),JR_IT_SUPPORT,IT Support / Helpdesk (Entry Level),SK161;SK067;SK005;SK001;SK261;SK028;SK113;SK085;SK223;SK135,agile;business;css;java;jira;problem solving;react.js;scala;technical support;testing,10,0-1,bachelors,SOFTWARE_ENGINEERING,graduate,full_time
JOBS_000148,Backend Engineer (Open to All Levels),Junior Backend Developer,JR_BE_DEV,Junior Backend Developer,SK049;SK161;SK034;SK239;SK108;SK124;SK074;SK001;SK261;SK028;SK285;SK004;SK240;SK068;SK117,.net;agile;algorithms;computer science;crm;data;fundamentals;java;jira;problem solving;programming;python;salesforce;solution;system,15,0-1,bachelors,SOFTWARE_ENGINEERING,graduate,full_time
JOBS_000150,Senior Data Engineer - ZaloPay,Data Engineer (Entry Level),DATA_ENGINEER_INT,Data Engineer (Entry Level),SK058;SK181;SK043;SK067;SK124;SK192;SK211;SK254;SK011;SK225;SK057;SK039;SK004;SK085;SK003,apache;aws;big data;business;data;etl;games;information systems;infrastructure;it;network;nosql;python;scala;sql,15,5+,phd,DATA,working,full_time
JOBS_000151,Senior Software Engineer (ReactJS),Junior Software Engineer,JR_SE,Junior Software Engineer,SK021;SK211;SK022;SK282;SK002;SK057;SK016;SK123;SK041;SK026,api;games;html5;implementation;javascript;network;security;senior software;software;web,10,5+,phd,SOFTWARE_ENGINEERING,working,full_time
JOBS_000154,Lead/Senior QA Engineer (Auto) - ZaloPay,QA Engineer (Entry Level),JR_QA_ENG,QA Engineer (Entry Level),SK161;SK211;SK001;SK261;SK057;SK102;SK135,agile;games;java;jira;network;project;testing,7,5+,phd,QA,working,full_time
JOBS_000155,Senior PQA Engineer,QA Engineer (Entry Level),JR_QA_ENG,QA Engineer (Entry Level),SK124;SK211;SK057,data;games;network,3,5+,phd,QA,working,full_time
JOBS_000164,Infrastructure/DevOps Specialist,DevOps / Cloud Trainee,DEVOPS_TRAINEE,DevOps / Cloud Trainee,SK067;SK148;SK239;SK182;SK024;SK095;SK282;SK254;SK011;SK225;SK174;SK007;SK187;SK016;SK041;SK003;SK035;SK117;SK064;SK061,business;business requirements;computer science;configuration;devops;hardware;implementation;information systems;infrastructure;it;microsoft azure;mobile;operating system;security;software;sql;storage;system;unix;windows,20,5+,bachelors,DEVOPS,working,full_time
JOBS_000166,Front-End Developer (VueJS)-NO PROBATION,Junior Frontend Developer,JR_FE_DEV,Junior Frontend Developer,SK161;SK181;SK239;SK005;SK029;SK009;SK022;SK180;SK225;SK002;SK174;SK039;SK102;SK013;SK041;SK122;SK003;SK117;SK135;SK026;SK059,agile;aws;computer science;css;docker;git;html5;iphone;it;javascript;microsoft azure;nosql;project;rest;software;software development;sql;system;testing;web;web technologies,21,1-3,bachelors,SOFTWARE_ENGINEERING,working,full_time
JOBS_000168,Technical Business Analyst,Business Analyst (Entry Level),JR_BUSINESS_ANALYST,Business Analyst (Entry Level),SK161;SK067;SK145;SK124;SK012;SK257;SK102;SK041;SK122;SK040;SK286;SK003;SK117;SK135,agile;business;business analysis;data;database;production environment;project;software;software development;software engineering;software testing;sql;system;testing,14,5+,bachelors,DATA,working,full_time
JOBS_000172,Software Data Engineer~60M -NO PROBATION,Data Engineer (Entry Level),DATA_ENGINEER_INT,Data Engineer (Entry Level),SK161;SK043;SK067;SK239;SK270;SK124;SK253;SK012;SK192;SK001;SK285;SK004;SK041;SK122;SK040;SK003;SK117;SK026;SK152,agile;big data;business;computer science;dashboards;data;data analytics;database;etl;java;programming;python;software;software development;software engineering;sql;system;web;web services,19,1-3,bachelors,DATA,working,full_time
JOBS_000174,Lead UX Designer (UI-UX),UI/UX Designer (Entry Level),JR_UI_UX_DESIGNER,UI/UX Designer (Entry Level),SK161;SK067;SK288;SK007;SK102;SK041,agile;business;desktop;mobile;project;software,6,5+,bachelors,UI_UX,working,full_time
JOBS_000177,Data Engineer -Up to $2500 -NO PROBATION,Data Engineer (Entry Level),DATA_ENGINEER_INT,Data Engineer (Entry Level),SK181;SK067;SK101;SK166;SK124;SK012;SK110;SK011;SK039;SK102;SK004;SK041;SK068;SK003;SK117,aws;business;cloud services;coding;data;database;django;infrastructure;nosql;project;python;software;solution;sql;system,15,1-3,bachelors,DATA,working,full_time
JOBS_000178,Test Engineer (Manual/Automation),QA Engineer (Entry Level),JR_QA_ENG,QA Engineer (Entry Level),SK124;SK095;SK045;SK225;SK057;SK102;SK041;SK286;SK117;SK135,data;hardware;information technology;it;network;project;software;software testing;system;testing,10,0-1,bachelors,QA,graduate,full_time
JOBS_000181,Data Engineer (Talend/Power Center),Data Engineer (Entry Level),DATA_ENGINEER_INT,Data Engineer (Entry Level),SK161;SK058;SK043;SK067;SK124;SK277;SK207;SK060;SK225;SK032;SK102;SK041;SK122;SK212;SK003;SK117,agile;apache;big data;business;data;data science;global delivery;hadoop;it;oracle;project;software;software development;splunk;sql;system,16,1-3,bachelors,DATA,working,full_time
JOBS_000188,"(Senior) UI/UX Designer, Zalo Cloud",UI/UX Designer (Entry Level),JR_UI_UX_DESIGNER,UI/UX Designer (Entry Level),SK007;SK026,mobile;web,2,5+,bachelors,UI_UX,working,full_time
JOBS_000189,Backend Engineer (Java or C++)_All Level,Junior Backend Developer,JR_BE_DEV,Junior Backend Developer,SK124;SK044;SK009;SK282;SK001;SK002;SK039;SK094;SK028;SK041;SK117,data;data structures;git;implementation;java;javascript;nosql;oop;problem solving;software;system,11,0-1,bachelors,SOFTWARE_ENGINEERING,graduate,full_time
JOBS_000190,"DevOps Engineer (AWS, Cloud)- Upto $1800",DevOps / Cloud Trainee,DEVOPS_TRAINEE,DevOps / Cloud Trainee,SK181;SK024;SK026;SK152,aws;devops;web;web services,4,5+,bachelors,DEVOPS,working,full_time
JOBS_000195,"Senior UI/UX Designer, Media",UI/UX Designer (Entry Level),JR_UI_UX_DESIGNER,UI/UX Designer (Entry Level),SK007;SK135;SK026,mobile;testing;web,3,5+,bachelors,UI_UX,working,full_time
JOBS_000200,"Software Engineer (C++,.Net) Up to 3000$",Junior Software Engineer,JR_SE,Junior Software Engineer,SK049;SK161;SK124;SK044;SK012;SK288;SK282;SK094;SK032;SK285;SK102;SK111;SK041;SK097;SK122;SK135;SK050,.net;agile;data;data structures;database;desktop;implementation;oop;oracle;programming;project;project management;software;software design;software development;testing;written communication,17,0-1,bachelors,SOFTWARE_ENGINEERING,graduate,full_time
JOBS_000204,Technical IT Support/Application Support,IT Support / Helpdesk (Entry Level),JR_IT_SUPPORT,IT Support / Helpdesk (Entry Level),SK161;SK067;SK288;SK225;SK032;SK150;SK102;SK111;SK068;SK003;SK117;SK223;SK271;SK064;SK061,agile;business;desktop;it;oracle;perl;project;project management;solution;sql;system;technical support;troubleshooting;unix;windows,15,1-3,bachelors,SOFTWARE_ENGINEERING,working,full_time
JOBS_000205,"Java API Developer (AWS, Spring)",Junior Backend Developer,JR_BE_DEV,Junior Backend Developer,SK161;SK021;SK181;SK166;SK024;SK063;SK001;SK037;SK032;SK013;SK018;SK003;SK026;SK152,agile;api;aws;coding;devops;github;java;mvc;oracle;rest;spring;sql;web;web services,14,5+,bachelors,SOFTWARE_ENGINEERING,working,full_time
JOBS_000211,Senior PHP Software Engineer (Laravel),Junior Software Engineer,JR_SE,Junior Software Engineer,SK161;SK058;SK067;SK166;SK024;SK053;SK017;SK285;SK004;SK041,agile;apache;business;coding;devops;laravel;php;programming;python;software,10,5+,bachelors,SOFTWARE_ENGINEERING,working,full_time
JOBS_000212,Senior/Lead UI UX Designer,UI/UX Designer (Entry Level),JR_UI_UX_DESIGNER,UI/UX Designer (Entry Level),SK074;SK007;SK068;SK038;SK026,fundamentals;mobile;solution;team player;web,5,5+,bachelors,UI_UX,working,full_time
JOBS_000214,Business Analyst up to 1800$ + Bonus 30M,Business Analyst (Entry Level),JR_BUSINESS_ANALYST,Business Analyst (Entry Level),SK161;SK067;SK102;SK041;SK122;SK117;SK121;SK026,agile;business;project;software;software development;system;uml;web,8,3-5,bachelors,DATA,working,full_time
JOBS_000215,Business Intelligence Developer,Data Analyst (Entry Level),DATA_ANALYST_INT,Data Analyst (Entry Level),SK067;SK124;SK253;SK192;SK225;SK028;SK271,business;data;data analytics;etl;it;problem solving;troubleshooting,7,1-3,bachelors,DATA,working,full_time
JOBS_000216,Embedded software engineer,Junior Software Engineer,JR_SE,Junior Software Engineer,SK102;SK041,project;software,2,0-1,bachelors,SOFTWARE_ENGINEERING,graduate,full_time
JOBS_000218,Software Quality Assurance Engineer,QA Engineer (Entry Level),JR_QA_ENG,QA Engineer (Entry Level),SK157;SK239;SK282;SK225;SK007;SK258;SK102;SK004;SK041;SK122;SK135,application development;computer science;implementation;it;mobile;mobile application development;project;python;software;software development;testing,11,0-1,bachelors,QA,graduate,full_time
JOBS_000221,UI/UX Designer - Signing Bonus Upto 30M,UI/UX Designer (Entry Level),JR_UI_UX_DESIGNER,UI/UX Designer (Entry Level),SK161;SK007;SK279;SK028;SK102;SK041;SK117;SK026,agile;mobile;mobile applications;problem solving;project;software;system;web,8,5+,bachelors,UI_UX,working,full_time
JOBS_000223,"Software Engineer (ReactJS,Redux,Spring)",Junior Software Engineer,JR_SE,Junior Software Engineer,SK161;SK002;SK190;SK041;SK018;SK026,agile;javascript;middleware;software;spring;web,6,0-1,bachelors,SOFTWARE_ENGINEERING,graduate,full_time
JOBS_000224,DevOps - Upto $2000 NET + 30M Bonus,DevOps / Cloud Trainee,DEVOPS_TRAINEE,DevOps / Cloud Trainee,SK161;SK181;SK105;SK024;SK011;SK039;SK285;SK102;SK003,agile;aws;cassandra;devops;infrastructure;nosql;programming;project;sql,9,student,bachelors,DEVOPS,student,full_time
JOBS_000227,"10 BigData Engineers (Java, Scala, SQL)",Data Engineer (Entry Level),DATA_ENGINEER_INT,Data Engineer (Entry Level),SK043;SK124;SK253;SK185;SK192;SK001;SK039;SK085;SK041;SK003;SK130,big data;data;data analytics;elastic search;etl;java;nosql;scala;software;sql;telecom,11,0-1,bachelors,DATA,graduate,full_time
JOBS_000233,Data Engineer (Support 13th salary),Data Engineer (Entry Level),DATA_ENGINEER_INT,Data Engineer (Entry Level),SK161;SK043;SK067;SK124;SK115;SK012;SK185;SK192;SK011;SK225;SK020;SK007;SK004;SK041;SK068;SK035;SK117;SK026,agile;big data;business;data;data mining;database;elastic search;etl;infrastructure;it;linux;mobile;python;software;solution;storage;system;web,18,0-1,bachelors,DATA,graduate,full_time
JOBS_000237,Front-End Developer (ReactJS),Junior Frontend Developer,JR_FE_DEV,Junior Frontend Developer,SK021;SK067;SK124;SK006;SK282;SK002;SK007;SK041;SK068;SK184;SK026,api;business;data;html;implementation;javascript;mobile;software;solution;technical requirements;web,11,1-3,bachelors,SOFTWARE_ENGINEERING,working,full_time
JOBS_000238,Software Business Analyst,Business Analyst (Entry Level),JR_BUSINESS_ANALYST,Business Analyst (Entry Level),SK067;SK145;SK148;SK124;SK254;SK225;SK007;SK241;SK041;SK122;SK068;SK135;SK121;SK026,business;business analysis;business requirements;data;information systems;it;mobile;requirement gathering;software;software development;solution;testing;uml;web,14,1-3,bachelors,DATA,working,full_time
JOBS_000239,Android Engineer (Android /Kotlin),Junior Mobile Developer,JR_MOBILE_DEV,Junior Mobile Developer,SK161;SK070;SK009;SK045;SK001;SK007;SK013;SK041;SK080;SK271,agile;android;git;information technology;java;mobile;rest;software;technical skills;troubleshooting,10,1-3,bachelors,MOBILE,working,full_time
JOBS_000243,"Fullstack Developer (NodeJS, ReactJS)",Junior Full-Stack Developer,JR_FS_DEV,Junior Full-Stack Developer,SK021;SK103;SK005;SK225;SK002;SK039;SK041;SK122;SK068;SK135;SK271;SK026,api;asp.net;css;it;javascript;nosql;software;software development;solution;testing;troubleshooting;web,12,5+,bachelors,SOFTWARE_ENGINEERING,working,full_time
JOBS_000244,"Data Engineer (SQL, Python)",Data Engineer (Entry Level),DATA_ENGINEER_INT,Data Engineer (Entry Level),SK161;SK058;SK067;SK239;SK124;SK012;SK192;SK011;SK001;SK285;SK102;SK111;SK004;SK041;SK122;SK003;SK038;SK064,agile;apache;business;computer science;data;database;etl;infrastructure;java;programming;project;project management;python;software;software development;sql;team player;unix,18,5+,masters,DATA,working,full_time
JOBS_000245,Technical Business Analyst (Agile),Business Analyst (Entry Level),JR_BUSINESS_ANALYST,Business Analyst (Entry Level),SK161;SK067;SK148;SK124;SK153;SK225;SK028;SK041;SK068;SK117;SK184;SK135;SK226,agile;business;business requirements;data;data entry;it;problem solving;software;solution;system;technical requirements;testing;use cases,13,5+,bachelors,DATA,working,full_time
JOBS_000254,Remote UI-UX Designer,UI/UX Designer (Entry Level),JR_UI_UX_DESIGNER,UI/UX Designer (Entry Level),SK022;SK202;SK225;SK238;SK041;SK038,html5;installation;it;multimedia;software;team player,6,0-1,bachelors,UI_UX,graduate,full_time
JOBS_000255,Android and iOS Mobile Developers,Junior Mobile Developer,JR_MOBILE_DEV,Junior Mobile Developer,SK161;SK070;SK157;SK067;SK055;SK225;SK020;SK007;SK120;SK285;SK064,agile;android;application development;business;ios;it;linux;mobile;object oriented programming;programming;unix,11,0-1,bachelors,MOBILE,graduate,full_time
JOBS_000259,Remote Senior Devops (AWS),DevOps / Cloud Trainee,DEVOPS_TRAINEE,DevOps / Cloud Trainee,SK181;SK239;SK270;SK012;SK024;SK089;SK045;SK011;SK225;SK020;SK007;SK016;SK041;SK122;SK271,aws;computer science;dashboards;database;devops;gradle;information technology;infrastructure;it;linux;mobile;security;software;software development;troubleshooting,15,5+,bachelors,DEVOPS,working,full_time
JOBS_000267,Senior Data engineer (SQL),Data Engineer (Entry Level),DATA_ENGINEER_INT,Data Engineer (Entry Level),SK124;SK012;SK047;SK057;SK039;SK016;SK003;SK135,data;database;mongodb;network;nosql;security;sql;testing,8,5+,bachelors,DATA,working,full_time
JOBS_000268,Sr. Automation Software Tester (QA QC),QA Engineer (Entry Level),JR_QA_ENG,QA Engineer (Entry Level),SK021;SK067;SK239;SK124;SK009;SK001;SK057;SK041;SK286;SK135;SK026,api;business;computer science;data;git;java;network;software;software testing;testing;web,11,5+,bachelors,QA,working,full_time
JOBS_000269,Senior Manual Software Tester (QA QC),QA Engineer (Entry Level),JR_QA_ENG,QA Engineer (Entry Level),SK021;SK239;SK124;SK019;SK057;SK102;SK016;SK041;SK286;SK135,api;computer science;data;json;network;project;security;software;software testing;testing,10,5+,bachelors,QA,working,full_time
JOBS_000270,Frontend Engineer (VueJS / ReactJS),Junior Frontend Developer,JR_FE_DEV,Junior Frontend Developer,SK021;SK012;SK002;SK026,api;database;javascript;web,4,0-1,bachelors,SOFTWARE_ENGINEERING,graduate,full_time
JOBS_000272,Senior Automation QA Engineer (Tester),QA Engineer (Entry Level),JR_QA_ENG,QA Engineer (Entry Level),SK034;SK239;SK124;SK044;SK012;SK074;SK007;SK279;SK102;SK013;SK117;SK135;SK026,algorithms;computer science;data;data structures;database;fundamentals;mobile;mobile applications;project;rest;system;testing;web,13,5+,bachelors,QA,working,full_time
JOBS_000275,"DevOps Engineer (AWS, Cloud)",DevOps / Cloud Trainee,DEVOPS_TRAINEE,DevOps / Cloud Trainee,SK181;SK182;SK124;SK024;SK029;SK011;SK202;SK225;SK057;SK132;SK016;SK117;SK135,aws;configuration;data;devops;docker;infrastructure;installation;it;network;networking;security;system;testing,13,1-3,bachelors,DEVOPS,working,full_time
