job_uid,job_title,role_id,role_title,domain,experience_level,education_level,current_status,job_type_clean
JOBS_000024,"Javascript Developer (React,ReactNative)",FE_DEV,Frontend Developer,FULLSTACK_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000025,Python Developer (Junior/Senior),JR_BE_DEV,Junior Backend Developer,FULLSTACK_ENGINEERING,0-1,bachelors,graduate,full_time
JOBS_000026,5 Java/.Net Developer (Fresher accepted),BE_DEV,Backend Developer,FULLSTACK_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000027,IoT Gateway Software Dev(Java/JS/Python),BE_DEV,Backend Developer,FULLSTACK_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000028,Project Manager (Embedded/Automotive),JR_PROJECT_MANAGER,Junior Project Manager,PROJECT_MANAGEMENT,unknown,bachelors,graduate,full_time
JOBS_000029,2 Embedded SW Project Lead (Automotive),PRINCIPAL_ENGINEER,Principal Engineer,FULLSTACK_ENGINEERING,5+,masters,working,full_time
JOBS_000030,"Cloud Dev for IoT (Java, JavaScript)",BE_DEV,Backend Developer,FULLSTACK_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000031,"Solution Architect (AWS, Java, Spring)",SENIOR_BE_DEV,Senior Backend Developer,FULLSTACK_ENGINEERING,5+,masters,working,full_time
JOBS_000032,15 Embedded Software Dev (Joining Bonus),BE_DEV,Backend Developer,FULLSTACK_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000033,Fresher Software Engineer (Core Banking),FE_DEV,Frontend Developer,FULLSTACK_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000034,Sr. Java Developer (Spring Boot/Kafka),SENIOR_BE_DEV,Senior Backend Developer,FULLSTACK_ENGINEERING,5+,masters,working,full_time
JOBS_000035,Embedded Software Tester (Joining Bonus),QA_AUTOMATION_ENG,QA Automation Engineer,QA_TESTING,1-3,bachelors,working,full_time
JOBS_000036,Software Developer (Java / Python),BE_DEV,Backend Developer,FULLSTACK_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000037,"Technical Lead (Java, Spring, AWS)",LEAD_BE_DEV,Lead Backend Developer,FULLSTACK_ENGINEERING,5+,masters,working,full_time
JOBS_000038,"Sr. Front-end Dev (ReactJS, JavaScript)",SENIOR_FE_DEV,Senior Frontend Developer,FULLSTACK_ENGINEERING,5+,masters,working,full_time
JOBS_000039,Python Developer (Data Engineer/Airflow),DATA_ENGINEER,Data Engineer,DATA_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000040,"Scrum Master (Project Manager, Fintech)",JR_PROJECT_MANAGER,Junior Project Manager,PROJECT_MANAGEMENT,unknown,bachelors,graduate,full_time
JOBS_000041,"QA/Senior Manual Engineer (Tester, Eng.)",SENIOR_QA_AUTOMATION,Senior QA Automation Engineer,QA_TESTING,5+,masters,working,full_time
JOBS_000042,"Senior QC Engineer (QA QC, Tester)",SENIOR_QA_AUTOMATION,Senior QA Automation Engineer,QA_TESTING,5+,masters,working,full_time
JOBS_000043,Mobile Technical Lead (Android/iOS),LEAD_MOBILE_DEV,Lead Mobile Developer,MOBILE_ENGINEERING,5+,masters,working,full_time
JOBS_000044,Java API Developer,BE_DEV,Backend Developer,FULLSTACK_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000045,"Senior Python Developer (Kafka, DevOps)",SENIOR_SRE,Senior SRE,DEVOPS_SRE,5+,masters,working,full_time
JOBS_000046,Product Owner/Senior BA (Crypto/Fintech),SENIOR_SECURITY_ENG,Senior Security Engineer,SECURITY,5+,masters,working,full_time
JOBS_000047,Backend Technical Leader (Java),BE_DEV,Backend Developer,FULLSTACK_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000048,Application Security Engineer,SECURITY_ENGINEER,Security Engineer,SECURITY,1-3,bachelors,working,full_time
JOBS_000049,"Product Owner (Scrum, Agile)",SE_II,Software Engineer II,FULLSTACK_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000050,QA Manager,LEAD_QA_ENG,Lead QA Engineer,QA_TESTING,unknown,bachelors,graduate,full_time
JOBS_000051,"DevOps Engineer (AWS, Cloud)",CLOUD_ENGINEER,Cloud Engineer,CLOUD_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000052,Senior iOS Mobile Developer (Swift),SENIOR_MOBILE_DEV,Senior Mobile Developer,MOBILE_ENGINEERING,5+,masters,working,full_time
JOBS_000053,"Business Analyst (English, Agile)",BE_DEV,Backend Developer,FULLSTACK_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000054,Business Analyst Manager (Agile),STAFF_ENGINEER,Staff Engineer,FULLSTACK_ENGINEERING,unknown,bachelors,graduate,full_time
JOBS_000055,Android Mobile Apps Developer,MOBILE_DEV,Mobile Developer,MOBILE_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000056,Automation Tester (C#/ QA QC/ Java),QA_AUTOMATION_ENG,QA Automation Engineer,QA_TESTING,1-3,bachelors,working,full_time
JOBS_000057,Manual Test Engineer (Tester/QA QC),QA_AUTOMATION_ENG,QA Automation Engineer,QA_TESTING,1-3,bachelors,working,full_time
JOBS_000058,"Product Owner (Business Analyst,English)",SRE,Site Reliability Engineer,DEVOPS_SRE,1-3,bachelors,working,full_time
JOBS_000059,"Software Developer (Oracle, PL/SQL)",DATA_ENGINEER,Data Engineer,DATA_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000060,"Media Streaming Engineer (Python, C/C++)",BE_DEV,Backend Developer,FULLSTACK_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000061,C++ Software Developers,SE_II,Software Engineer II,FULLSTACK_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000062,".NET Developer (C#, ASP.NET)",BE_DEV,Backend Developer,FULLSTACK_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000063,"System Engineer (Network Support, Linux)",DATA_ENGINEER,Data Engineer,DATA_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000064,"ASP.NET Developers (.NET, C#)",BE_DEV,Backend Developer,FULLSTACK_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000065,"Java Developer (Spring, Back-end)",BE_DEV,Backend Developer,FULLSTACK_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000066,"Data Engineer (Java, Python, Scala)",BE_DEV,Backend Developer,FULLSTACK_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000067,"Java Developers (Linux, Jenkins)",BE_DEV,Backend Developer,FULLSTACK_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000068,"Automation QA/QC/Tester (Java, Selenium)",BE_DEV,Backend Developer,FULLSTACK_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000069,"Embedded Software Developer (C, Linux)",ML_RESEARCH_SCIENTIST,ML Research Scientist,AI_ML,1-3,bachelors,working,full_time
JOBS_000070,"Embedded Linux Engineer (IoT, C/C++)",SECURITY_ENGINEER,Security Engineer,SECURITY,1-3,bachelors,working,full_time
JOBS_000071,".NET Dev (.NET Core, C#) $ Sign-on Bonus",BE_DEV,Backend Developer,FULLSTACK_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000072,System Engineer,SE_II,Software Engineer II,FULLSTACK_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000073,Manual QC/QA Engineer (Tester),QA_AUTOMATION_ENG,QA Automation Engineer,QA_TESTING,1-3,bachelors,working,full_time
JOBS_000074,React Native Dev (Mobile) $ SignOn Bonus,MOBILE_DEV,Mobile Developer,MOBILE_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000075,PHP Developer (Laravel) $$ Sign-on Bonus,BE_DEV,Backend Developer,FULLSTACK_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000076,Front-End Dev (ReactJS) - Sign-on Bonus,FE_DEV,Frontend Developer,FULLSTACK_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000077,[HCM-HN-DN] Senior Shopify Dev (ReactJS),SENIOR_FE_DEV,Senior Frontend Developer,FULLSTACK_ENGINEERING,5+,masters,working,full_time
JOBS_000078,"Senior Front-end Dev (ReactJS, VueJS)",SENIOR_FE_DEV,Senior Frontend Developer,FULLSTACK_ENGINEERING,5+,masters,working,full_time
JOBS_000079,Senior Project Manager (Agile/Scrum),SENIOR_PROGRAM_MANAGER,Senior Program Manager,FULLSTACK_ENGINEERING,5+,masters,working,full_time
JOBS_000080,Mobile Developer (iOS & Android),MOBILE_DEV,Mobile Developer,MOBILE_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000081,Middle Frontend Dev (ReactJS/VueJS),FE_DEV,Frontend Developer,FULLSTACK_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000082,Senior PHP Developer (Laravel/ Symfony),SENIOR_FE_DEV,Senior Frontend Developer,FULLSTACK_ENGINEERING,5+,masters,working,full_time
JOBS_000083,Automation QA QC/ Tester (Senior - Lead),SENIOR_QA_AUTOMATION,Senior QA Automation Engineer,QA_TESTING,5+,masters,working,full_time
JOBS_000084,PHP Tech Lead (Laravel/ Symfony),SENIOR_PROGRAM_MANAGER,Senior Program Manager,FULLSTACK_ENGINEERING,5+,masters,working,full_time
JOBS_000085,"Senior Developer (ASP.NET, NoteJS)",SENIOR_BE_DEV,Senior Backend Developer,FULLSTACK_ENGINEERING,5+,masters,working,full_time
JOBS_000086,BA IT/ Business Analyst IT,DATA_ENGINEER,Data Engineer,DATA_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000087,Digital Product - CVCC Ngân hàng Số,SE_II,Software Engineer II,FULLSTACK_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000088,.Net developer,BE_DEV,Backend Developer,FULLSTACK_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000089,"Mobile Developer (iOS,Android)",MOBILE_DEV,Mobile Developer,MOBILE_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000090,Data Science/ Data Analyst (BI),DATA_ENGINEER,Data Engineer,DATA_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000091,Front End Developer (NodeJs),BE_DEV,Backend Developer,FULLSTACK_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000092,Digital Project Manager,JR_PROJECT_MANAGER,Junior Project Manager,PROJECT_MANAGEMENT,unknown,bachelors,graduate,full_time
JOBS_000093,Digital Solution Tester,QA_AUTOMATION_ENG,QA Automation Engineer,QA_TESTING,1-3,bachelors,working,full_time
JOBS_000094,Digital Technology Operation,DATA_ENGINEER,Data Engineer,DATA_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000095,Digital Solution Integration Developer,DATA_ENGINEER,Data Engineer,DATA_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000096,Digital UI/UX Design,UI_UX_DESIGNER,UI/UX Designer,UI_UX_DESIGN,1-3,bachelors,working,full_time
JOBS_000097,Digital Project Manager - PM,JR_PROJECT_MANAGER,Junior Project Manager,PROJECT_MANAGEMENT,unknown,bachelors,graduate,full_time
JOBS_000098,"Fullstack Developer (Java,C#,...)",BE_DEV,Backend Developer,FULLSTACK_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000099,Digital Solution Architect,SENIOR_DATA_ENGINEER,Senior Data Engineer,DATA_ENGINEERING,5+,masters,working,full_time
JOBS_000100,Digital Technology QC Specialist,SRE,Site Reliability Engineer,DEVOPS_SRE,1-3,bachelors,working,full_time
JOBS_000101,Digital Technology QC Manager,STAFF_SRE,Staff SRE,DEVOPS_SRE,5+,masters,working,full_time
JOBS_000102,IT Internal Control Professional,SE_II,Software Engineer II,FULLSTACK_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000103,UI UX Designer,UI_UX_DESIGNER,UI/UX Designer,UI_UX_DESIGN,1-3,bachelors,working,full_time
JOBS_000104,"Solution Architect(Cloud,AWS,CI/CD,Java)",SENIOR_SRE,Senior SRE,DEVOPS_SRE,5+,masters,working,full_time
JOBS_000105,Digital Data Scientist,RESEARCH_SCIENTIST,Research Scientist,FULLSTACK_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000106,Digital Solution Developer,DATA_ENGINEER,Data Engineer,DATA_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000107,IT Architect (Core Banking),SENIOR_ML_ENGINEER,Senior ML Engineer,AI_ML,5+,masters,working,full_time
JOBS_000108,Digital Data Engineer,DATA_ENGINEER,Data Engineer,DATA_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000109,Digital Data Analyst,DATA_ENGINEER,Data Engineer,DATA_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000110,Automation Tester/ QA QC (Selenium),QA_AUTOMATION_ENG,QA Automation Engineer,QA_TESTING,1-3,bachelors,working,full_time
JOBS_000111,Digital Product Owner,SE_II,Software Engineer II,FULLSTACK_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000112,Card Technology Solution Developer,FE_DEV,Frontend Developer,FULLSTACK_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000113,"2 .NET Developer (C#, .NET, ASP.NET MVC)",BE_DEV,Backend Developer,FULLSTACK_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000114,Mobile Dev (React Native - Android/iOS),MOBILE_DEV,Mobile Developer,MOBILE_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000115,Sr. Frontend (JavaScript/ReactJS/VueJS),SENIOR_FE_DEV,Senior Frontend Developer,FULLSTACK_ENGINEERING,5+,masters,working,full_time
JOBS_000116,Manual Tester/ QA QC,QA_AUTOMATION_ENG,QA Automation Engineer,QA_TESTING,1-3,bachelors,working,full_time
JOBS_000117,"Product Owner (Business Analyst, UI-UX)",SE_II,Software Engineer II,FULLSTACK_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000118,2 Business Analyst (Agile),DATA_ENGINEER,Data Engineer,DATA_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000119,"5 Senior PHP Developer (MySQL, OOP)",SENIOR_DATA_ENGINEER,Senior Data Engineer,DATA_ENGINEERING,5+,masters,working,full_time
JOBS_000120,3 Senior Full Stack Developer,SENIOR_DATA_ENGINEER,Senior Data Engineer,DATA_ENGINEERING,5+,masters,working,full_time
JOBS_000121,Senior Product Development,SENIOR_DATA_ENGINEER,Senior Data Engineer,DATA_ENGINEERING,5+,masters,working,full_time
JOBS_000122,3 Senior Angular Front-End,SENIOR_FE_DEV,Senior Frontend Developer,FULLSTACK_ENGINEERING,5+,masters,working,full_time
JOBS_000123,"Senior Android Developer (Kotlin, MVVM)",SENIOR_MOBILE_DEV,Senior Mobile Developer,MOBILE_ENGINEERING,5+,masters,working,full_time
JOBS_000124,"Senior NodeJS Developer- AWS, Blockchain",SENIOR_CLOUD_ENG,Senior Cloud Engineer,CLOUD_ENGINEERING,5+,masters,working,full_time
JOBS_000125,Senior Data Engineer,SENIOR_DATA_ENGINEER,Senior Data Engineer,DATA_ENGINEERING,5+,masters,working,full_time
JOBS_000126,Senior QA Automation,SENIOR_SRE,Senior SRE,DEVOPS_SRE,5+,masters,working,full_time
JOBS_000127,Project Manager (Fluent in English),JR_PROJECT_MANAGER,Junior Project Manager,PROJECT_MANAGEMENT,unknown,bachelors,graduate,full_time
JOBS_000128,Senior Site Reliability Engineer,SENIOR_SRE,Senior SRE,DEVOPS_SRE,5+,masters,working,full_time
JOBS_000129,Security Engineer - Pentester,SECURITY_ENGINEER,Security Engineer,SECURITY,1-3,bachelors,working,full_time
JOBS_000130,"Frontend Lead (ReactJS, JavaScript)",LEAD_FE_DEV,Lead Frontend Developer,FULLSTACK_ENGINEERING,5+,masters,working,full_time
JOBS_000131,QA Engineer - Manual,QA_AUTOMATION_ENG,QA Automation Engineer,QA_TESTING,1-3,bachelors,working,full_time
JOBS_000132,"Microservices Engineer (Java/Golang,AWS)",BE_DEV,Backend Developer,FULLSTACK_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000133,Senior Backend Engineer - Golang,SENIOR_SRE,Senior SRE,DEVOPS_SRE,5+,masters,working,full_time
JOBS_000134,System Engineer & Admin,SRE,Site Reliability Engineer,DEVOPS_SRE,1-3,bachelors,working,full_time
JOBS_000135,Senior Frontend Engineer (ReactJS),SENIOR_FE_DEV,Senior Frontend Developer,FULLSTACK_ENGINEERING,5+,masters,working,full_time
JOBS_000136,"Business Intelligence Engineer (BI, SQL)",DATA_ENGINEER,Data Engineer,DATA_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000137,Lead Android Engineer (Java/Kotlin),LEAD_MOBILE_DEV,Lead Mobile Developer,MOBILE_ENGINEERING,5+,masters,working,full_time
JOBS_000138,Product Manager (B2C),JR_PROJECT_MANAGER,Junior Project Manager,PROJECT_MANAGEMENT,unknown,bachelors,graduate,full_time
JOBS_000139,"Sr Backend Engineer (.NET,Microservices)",SENIOR_BE_DEV,Senior Backend Developer,FULLSTACK_ENGINEERING,5+,masters,working,full_time
JOBS_000140,Software Development Engineer in Test,FE_DEV,Frontend Developer,FULLSTACK_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000141,FE Mobile Developer (Open all levels),MOBILE_DEV,Mobile Developer,MOBILE_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000142,Partner Enablement Program Manager,STAFF_DATA_ENGINEER,Staff Data Engineer,DATA_ENGINEERING,unknown,bachelors,graduate,full_time
JOBS_000143,Sr Frontend (ReactJS/JavaScript/Angular),SENIOR_FE_DEV,Senior Frontend Developer,FULLSTACK_ENGINEERING,5+,masters,working,full_time
JOBS_000144,Xamarin Mobile Engineer 6-month contract,MOBILE_DEV,Mobile Developer,MOBILE_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000145,HO - Digital Business Analyst,ML_RESEARCH_SCIENTIST,ML Research Scientist,AI_ML,1-3,bachelors,working,full_time
JOBS_000146,Technical Support Engineer,FE_DEV,Frontend Developer,FULLSTACK_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000147,Full-stack Engineer (Node/ReactJS/Java),BE_DEV,Backend Developer,FULLSTACK_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000148,Backend Engineer (Open to All Levels),BE_DEV,Backend Developer,FULLSTACK_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000149,IT - UI/UX Designer,UI_UX_DESIGNER,UI/UX Designer,UI_UX_DESIGN,1-3,bachelors,working,full_time
JOBS_000150,Senior Data Engineer - ZaloPay,SENIOR_DATA_ENGINEER,Senior Data Engineer,DATA_ENGINEERING,5+,masters,working,full_time
JOBS_000151,Senior Software Engineer (ReactJS),SENIOR_FE_DEV,Senior Frontend Developer,FULLSTACK_ENGINEERING,5+,masters,working,full_time
JOBS_000152,IT - Business Analyst,DATA_ENGINEER,Data Engineer,DATA_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000153,"QC Engineer, VNG CLOUD (Tester)",QA_AUTOMATION_ENG,QA Automation Engineer,QA_TESTING,1-3,bachelors,working,full_time
JOBS_000154,Lead/Senior QA Engineer (Auto) - ZaloPay,SENIOR_QA_AUTOMATION,Senior QA Automation Engineer,QA_TESTING,5+,masters,working,full_time
JOBS_000155,Senior PQA Engineer,SENIOR_QA_AUTOMATION,Senior QA Automation Engineer,QA_TESTING,5+,masters,working,full_time
JOBS_000156,Product Manager,JR_PROJECT_MANAGER,Junior Project Manager,PROJECT_MANAGEMENT,unknown,bachelors,graduate,full_time
JOBS_000157,﻿Senior Java/Golang Developers,SENIOR_BE_DEV,Senior Backend Developer,FULLSTACK_ENGINEERING,5+,masters,working,full_time
JOBS_000158,Senior Tester (x3),SENIOR_QA_AUTOMATION,Senior QA Automation Engineer,QA_TESTING,5+,masters,working,full_time
JOBS_000159,Integration Developer,BE_DEV,Backend Developer,FULLSTACK_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000160,Senior Project Managers (x6),SENIOR_PROGRAM_MANAGER,Senior Program Manager,FULLSTACK_ENGINEERING,5+,masters,working,full_time
JOBS_000161,"Senior .NET Devs x12 (C#, ASP.NET, MVC)",SENIOR_BE_DEV,Senior Backend Developer,FULLSTACK_ENGINEERING,5+,masters,working,full_time
JOBS_000162,"Sr Frontend x8 (HTML5/CSS, JavaScript)",SENIOR_FE_DEV,Senior Frontend Developer,FULLSTACK_ENGINEERING,5+,masters,working,full_time
JOBS_000163,C/C++ Developer,SECURITY_ENGINEER,Security Engineer,SECURITY,1-3,bachelors,working,full_time
JOBS_000164,Infrastructure/DevOps Specialist,SRE,Site Reliability Engineer,DEVOPS_SRE,1-3,bachelors,working,full_time
JOBS_000165,Frontend Tech lead x5,LEAD_FE_DEV,Lead Frontend Developer,FULLSTACK_ENGINEERING,5+,masters,working,full_time
JOBS_000166,Front-End Developer (VueJS)-NO PROBATION,FE_DEV,Frontend Developer,FULLSTACK_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000167,AWS Cloud Architect - Signing Bonus ~25M,SENIOR_CLOUD_ENG,Senior Cloud Engineer,CLOUD_ENGINEERING,5+,masters,working,full_time
JOBS_000168,Technical Business Analyst,DATA_ENGINEER,Data Engineer,DATA_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000169,SAP Functional Consultant - NO PROBATION,BE_DEV,Backend Developer,FULLSTACK_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000170,Project Manager-SignBonus~50-NoProbation,JR_PROJECT_MANAGER,Junior Project Manager,PROJECT_MANAGEMENT,unknown,bachelors,graduate,full_time
JOBS_000171,Azure Cloud Architect-Signing Bonus ~25M,SENIOR_CLOUD_ENG,Senior Cloud Engineer,CLOUD_ENGINEERING,5+,masters,working,full_time
JOBS_000172,Software Data Engineer~60M -NO PROBATION,DATA_ENGINEER,Data Engineer,DATA_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000173,Microsoft Dynamics Technical Consultant,DATA_ENGINEER,Data Engineer,DATA_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000174,Lead UX Designer (UI-UX),PRINCIPAL_DESIGNER,Principal Designer,FULLSTACK_ENGINEERING,5+,masters,working,full_time
JOBS_000175,Fullstack (Java/Angular)~3k-NO PROBATION,FE_DEV,Frontend Developer,FULLSTACK_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000176,Project Manager (English),JR_PROJECT_MANAGER,Junior Project Manager,PROJECT_MANAGEMENT,unknown,bachelors,graduate,full_time
JOBS_000177,Data Engineer -Up to $2500 -NO PROBATION,DATA_ENGINEER,Data Engineer,DATA_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000178,Test Engineer (Manual/Automation),QA_AUTOMATION_ENG,QA Automation Engineer,QA_TESTING,1-3,bachelors,working,full_time
JOBS_000179,"Tester Banking (QA QC, SQL)",QA_AUTOMATION_ENG,QA Automation Engineer,QA_TESTING,1-3,bachelors,working,full_time
JOBS_000180,Automation Tester (English),QA_AUTOMATION_ENG,QA Automation Engineer,QA_TESTING,1-3,bachelors,working,full_time
JOBS_000181,Data Engineer (Talend/Power Center),DATA_ENGINEER,Data Engineer,DATA_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000182,Mobile dev (Thưởng 1 tháng lương),MOBILE_DEV,Mobile Developer,MOBILE_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000183,Manual Tester (Thưởng gia nhập tới 30tr),QA_AUTOMATION_ENG,QA Automation Engineer,QA_TESTING,1-3,bachelors,working,full_time
JOBS_000184,Java Dev (Thưởng gia nhập lên tới 40tr),BE_DEV,Backend Developer,FULLSTACK_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000185,iOS/Android Dev (Bonus upto 30M),MOBILE_DEV,Mobile Developer,MOBILE_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000186,"Frontend Dev (Angular, ReactJS, VueJS)",FE_DEV,Frontend Developer,FULLSTACK_ENGINEERING,1-3,bachelors,working,full_time
JOBS_000187,"(Senior) Product Owner, ZingMP3",SENIOR_MOBILE_DEV,Senior Mobile Developer,MOBILE_ENGINEERING,5+,masters,working,full_time
JOBS_000188,"(Senior) UI/UX Designer, Zalo Cloud",SENIOR_UI_UX_DESIGNER,Senior UI/UX Designer,UI_UX_DESIGN,5+,masters,working,full_time
JOBS_000189,Backend Engineer (Java or C++)_All Level,BE_DEV,Backend Developer,FULLSTACK_ENGINEERING,1-3,bachelors,working,full_time
