role_id,skill_id,frequency,importance,role_title,skill_name
BE_DEV,SK067,0.2455,0.2455,Backend Developer,business analyst
BE_DEV,SK068,0.0638,0.0638,Backend Developer,solution architect
BE_DEV,SK069,0.1118,0.1118,Backend Developer,spring mvc
BE_DEV,SK070,0.0158,0.0158,Backend Developer,android developer
BE_DEV,SK072,0.092,0.092,Backend Developer,junit
BE_DEV,SK073,0.092,0.092,Backend Developer,spring framework
BE_DEV,SK074,0.0393,0.0393,Backend Developer,fundamentals
BE_DEV,SK075,0.0477,0.0477,Backend Developer,rdbms
BE_DEV,SK076,0.0175,0.0175,Backend Developer,node.js
BE_DEV,SK077,0.0604,0.0604,Backend Developer,postgresql
BE_DEV,SK079,0.1001,0.1001,Backend Developer,struts
BE_DEV,SK080,0.0309,0.0309,Backend Developer,technical skills
BE_DEV,SK082,0.045,0.045,Backend Developer,rest api
BE_DEV,SK084,0.0883,0.0883,Backend Developer,jpa
BE_DEV,SK085,0.0121,0.0121,Backend Developer,scala
BE_DEV,SK086,0.045,0.045,Backend Developer,eclipse
BE_DEV,SK087,0.0426,0.0426,Backend Developer,messaging
BE_DEV,SK088,0.0144,0.0144,Backend Developer,ruby
BE_DEV,SK089,0.041,0.041,Backend Developer,gradle
BE_DEV,SK090,0.0779,0.0779,Backend Developer,jdbc
BE_DEV,SK091,0.0111,0.0111,Backend Developer,artificial intelligence
BE_DEV,SK092,0.0225,0.0225,Backend Developer,codeigniter
BE_DEV,SK094,0.1847,0.1847,Backend Developer,oop
BE_DEV,SK095,0.0188,0.0188,Backend Developer,hardware
BE_DEV,SK096,0.0369,0.0369,Backend Developer,software developer
BE_DEV,SK097,0.0285,0.0285,Backend Developer,software design
BE_DEV,SK099,0.0134,0.0134,Backend Developer,magento
BE_DEV,SK100,0.0316,0.0316,Backend Developer,memory management
BE_DEV,SK102,0.1813,0.1813,Backend Developer,project manager
BE_DEV,SK103,0.0326,0.0326,Backend Developer,asp.net
BE_DEV,SK105,0.0191,0.0191,Backend Developer,cassandra
BE_DEV,SK107,0.0437,0.0437,Backend Developer,network
BE_DEV,SK108,0.0165,0.0165,Backend Developer,crm
BE_DEV,SK110,0.043,0.043,Backend Developer,django
BE_DEV,SK111,0.0212,0.0212,Backend Developer,project management
BE_DEV,SK114,0.049,0.049,Backend Developer,multithreading
BE_DEV,SK117,0.1343,0.1343,Backend Developer,system administrator
BE_DEV,SK119,0.0665,0.0665,Backend Developer,java ee
BE_DEV,SK120,0.0379,0.0379,Backend Developer,object oriented programming
BE_DEV,SK121,0.0171,0.0171,Backend Developer,uml
BE_DEV,SK122,0.2327,0.2327,Backend Developer,software development
BE_DEV,SK123,0.0144,0.0144,Backend Developer,senior software engineer
BE_DEV,SK124,0.2599,0.2599,Backend Developer,data analyst
BE_DEV,SK125,0.0128,0.0128,Backend Developer,drupal
BE_DEV,SK130,0.0215,0.0215,Backend Developer,telecom
BE_DEV,SK131,0.0618,0.0618,Backend Developer,servlets
BE_DEV,SK132,0.0225,0.0225,Backend Developer,networking
BE_DEV,SK133,0.0447,0.0447,Backend Developer,threading
BE_DEV,SK135,0.357,0.357,Backend Developer,testing
BE_DEV,SK136,0.0114,0.0114,Backend Developer,cloud computing
BE_DEV,SK140,0.0302,0.0302,Backend Developer,java programming
BE_DEV,SK141,0.0131,0.0131,Backend Developer,forms
BE_DEV,SK144,0.0101,0.0101,Backend Developer,hosting
BE_DEV,SK147,0.0363,0.0363,Backend Developer,jee
BE_DEV,SK148,0.039,0.039,Backend Developer,business requirements
BE_DEV,SK152,0.1645,0.1645,Backend Developer,web services
BE_DEV,SK154,0.0329,0.0329,Backend Developer,ant
BE_DEV,SK155,0.0326,0.0326,Backend Developer,gateway
BE_DEV,SK157,0.0745,0.0745,Backend Developer,application development
BE_DEV,SK159,0.0215,0.0215,Backend Developer,protocols
BE_DEV,SK161,0.2629,0.2629,Backend Developer,agile
BE_DEV,SK164,0.0107,0.0107,Backend Developer,consultant
BE_DEV,SK166,0.1666,0.1666,Backend Developer,coding
BE_DEV,SK167,0.0158,0.0158,Backend Developer,shell scripting
BE_DEV,SK171,0.0369,0.0369,Backend Developer,jsf
BE_DEV,SK176,0.0101,0.0101,Backend Developer,sql database
BE_DEV,SK178,0.0118,0.0118,Backend Developer,web api
BE_DEV,SK179,0.0154,0.0154,Backend Developer,soa
BE_DEV,SK181,0.1286,0.1286,Backend Developer,aws
BE_DEV,SK182,0.0275,0.0275,Backend Developer,configuration
BE_DEV,SK183,0.0296,0.0296,Backend Developer,weblogic
BE_DEV,SK185,0.0104,0.0104,Backend Developer,elastic search
BE_DEV,SK186,0.0225,0.0225,Backend Developer,mockito
BE_DEV,SK189,0.0316,0.0316,Backend Developer,spring security
BE_DEV,SK190,0.0107,0.0107,Backend Developer,middleware
BE_DEV,SK191,0.0259,0.0259,Backend Developer,sybase
BE_DEV,SK192,0.0101,0.0101,Backend Developer,etl
BE_DEV,SK193,0.0302,0.0302,Backend Developer,websphere
BE_DEV,SK195,0.0124,0.0124,Backend Developer,visual studio
BE_DEV,SK200,0.0114,0.0114,Backend Developer,leadership skills
BE_DEV,SK203,0.0131,0.0131,Backend Developer,zend
BE_DEV,SK205,0.1518,0.1518,Backend Developer,design patterns
BE_DEV,SK206,0.0121,0.0121,Backend Developer,production support
BE_DEV,SK207,0.0101,0.0101,Backend Developer,global delivery
BE_DEV,SK210,0.0134,0.0134,Backend Developer,yii
BE_DEV,SK213,0.0151,0.0151,Backend Developer,mvc framework
BE_DEV,SK215,0.0178,0.0178,Backend Developer,application performance
BE_DEV,SK219,0.0134,0.0134,Backend Developer,cakephp
BE_DEV,SK222,0.0235,0.0235,Backend Developer,j2ee technologies
BE_DEV,SK223,0.0114,0.0114,Backend Developer,technical support engineer
BE_DEV,SK225,0.1404,0.1404,Backend Developer,it manager
BE_DEV,SK226,0.0138,0.0138,Backend Developer,use cases
BE_DEV,SK239,0.1944,0.1944,Backend Developer,computer science
BE_DEV,SK241,0.0131,0.0131,Backend Developer,requirement gathering
BE_DEV,SK249,0.0101,0.0101,Backend Developer,project life cycle
BE_DEV,SK254,0.0154,0.0154,Backend Developer,information systems
BE_DEV,SK255,0.0111,0.0111,Backend Developer,computer engineering
BE_DEV,SK261,0.0416,0.0416,Backend Developer,jira
BE_DEV,SK262,0.0201,0.0201,Backend Developer,advanced java
BE_DEV,SK264,0.0144,0.0144,Backend Developer,soap web services
BE_DEV,SK265,0.0235,0.0235,Backend Developer,android
BE_DEV,SK266,0.0171,0.0171,Backend Developer,functional requirements
BE_DEV,SK267,0.0114,0.0114,Backend Developer,apache tomcat
BE_DEV,SK269,0.0134,0.0134,Backend Developer,intellij
BE_DEV,SK271,0.0662,0.0662,Backend Developer,troubleshooting
BE_DEV,SK282,0.1232,0.1232,Backend Developer,implementation
BE_DEV,SK285,0.2535,0.2535,Backend Developer,programming
BE_DEV,SK288,0.0114,0.0114,Backend Developer,desktop engineer
BE_DEV,SK291,0.0181,0.0181,Backend Developer,ejb
BE_DEV,SK293,0.0228,0.0228,Backend Developer,java script
BE_DEV,SK295,0.0252,0.0252,Backend Developer,mentor
BE_DEV,SK302,0.0171,0.0171,Backend Developer,go
BE_DEV,SK312,0.1404,0.1404,Backend Developer,typescript
BE_DEV,SK320,0.0332,0.0332,Backend Developer,bash scripting
BE_DEV,SK351,0.1098,0.1098,Backend Developer,react
BE_DEV,SK352,0.0195,0.0195,Backend Developer,vue.js
BE_DEV,SK353,0.1316,0.1316,Backend Developer,angular
BE_DEV,SK363,0.0107,0.0107,Backend Developer,backbone.js
BE_DEV,SK379,0.0225,0.0225,Backend Developer,flask
BE_DEV,SK381,0.0201,0.0201,Backend Developer,express.js
BE_DEV,SK397,0.0332,0.0332,Backend Developer,play framework
BE_DEV,SK401,0.0131,0.0131,Backend Developer,graphql
BE_DEV,SK431,0.0178,0.0178,Backend Developer,aws lambda
BE_DEV,SK444,0.0104,0.0104,Backend Developer,aws api gateway
BE_DEV,SK475,0.0148,0.0148,Backend Developer,azure devops
BE_DEV,SK591,0.0306,0.0306,Backend Developer,apache spark
BE_DEV,SK592,0.0524,0.0524,Backend Developer,apache kafka
BE_DEV,SK646,0.088,0.088,Backend Developer,kubernetes
BE_DEV,SK655,0.1404,0.1404,Backend Developer,jenkins
BE_DEV,SK721,0.0997,0.0997,Backend Developer,sql server
BE_DEV,SK727,0.0343,0.0343,Backend Developer,redis
BE_DEV,SK728,0.0252,0.0252,Backend Developer,elasticsearch
BE_DEV,SK747,0.0154,0.0154,Backend Developer,database design
BE_DEV,SK752,0.049,0.049,Backend Developer,stored procedures
BE_DEV,SK777,0.0212,0.0212,Backend Developer,cryptography
BE_DEV,SK781,0.0111,0.0111,Backend Developer,api security
BE_DEV,SK783,0.0107,0.0107,Backend Developer,data loss prevention
BE_DEV,SK822,0.0215,0.0215,Backend Developer,responsive design
BE_DEV,SK851,0.0118,0.0118,Backend Developer,game design
BE_DEV,SK879,0.0171,0.0171,Backend Developer,presentation skills
BE_DEV,SK881,0.13,0.13,Backend Developer,documentation
BE_DEV,SK882,0.0215,0.0215,Backend Developer,code review skills
BE_DEV,SK884,0.0551,0.0551,Backend Developer,verbal communication
BE_DEV,SK896,0.0332,0.0332,Backend Developer,report writing
BE_DEV,SK908,0.0114,0.0114,Backend Developer,team leadership
BE_DEV,SK909,0.0225,0.0225,Backend Developer,mentoring
BE_DEV,SK910,0.0242,0.0242,Backend Developer,strategic thinking
BE_DEV,SK912,0.0134,0.0134,Backend Developer,change management
BE_DEV,SK917,0.0248,0.0248,Backend Developer,hiring and interviewing
BE_DEV,SK919,0.0356,0.0356,Backend Developer,team building
BE_DEV,SK933,0.0581,0.0581,Backend Developer,vision setting
BE_DEV,SK934,0.1655,0.1655,Backend Developer,accountability
BE_DEV,SK943,0.0353,0.0353,Backend Developer,goal setting
BE_DEV,SK944,0.0584,0.0584,Backend Developer,time management leadership
BE_DEV,SK948,0.1783,0.1783,Backend Developer,analytical thinking
BE_DEV,SK949,0.0238,0.0238,Backend Developer,system design
BE_DEV,SK950,0.1535,0.1535,Backend Developer,debugging skills
BE_DEV,SK952,0.0319,0.0319,Backend Developer,innovation
BE_DEV,SK953,0.0128,0.0128,Backend Developer,critical thinking
BE_DEV,SK962,0.0141,0.0141,Backend Developer,estimation skills
BE_DEV,SK966,0.0141,0.0141,Backend Developer,performance analysis
BE_DEV,SK969,0.0272,0.0272,Backend Developer,scalability planning
BE_DEV,SK972,0.0383,0.0383,Backend Developer,continuous improvement
BE_DEV,SK973,0.2344,0.2344,Backend Developer,agile methodology
BE_DEV,SK974,0.1169,0.1169,Backend Developer,scrum framework
BE_DEV,SK975,0.0121,0.0121,Backend Developer,kanban
BE_DEV,SK979,0.0212,0.0212,Backend Developer,sprint planning
BE_DEV,SK995,0.0154,0.0154,Backend Developer,confluence
BE_DEV,SK996,0.0416,0.0416,Backend Developer,jira management
BE_DEV,SK1000,0.0252,0.0252,Backend Developer,monday.com
BE_DEV,SK1003,0.0114,0.0114,Backend Developer,requirements gathering
BE_DEV,SK1009,0.0168,0.0168,Backend Developer,kpi definition
BE_DEV,SK1011,0.0128,0.0128,Backend Developer,user experience focus
BE_DEV,SK1017,0.0141,0.0141,Backend Developer,startup mindset
BE_DEV,SK1021,0.0437,0.0437,Backend Developer,compliance management
BE_DEV,SK1025,0.0101,0.0101,Backend Developer,accessibility
CLOUD_ENGINEER,SK001,0.2815,0.2815,Cloud Engineer,java
CLOUD_ENGINEER,SK002,0.1185,0.1185,Cloud Engineer,javascript
CLOUD_ENGINEER,SK003,0.5037,0.5037,Cloud Engineer,sql
CLOUD_ENGINEER,SK004,0.3926,0.3926,Cloud Engineer,python
CLOUD_ENGINEER,SK005,0.1037,0.1037,Cloud Engineer,css
CLOUD_ENGINEER,SK006,0.1037,0.1037,Cloud Engineer,html
CLOUD_ENGINEER,SK007,0.1185,0.1185,Cloud Engineer,mobile
CLOUD_ENGINEER,SK008,0.1481,0.1481,Cloud Engineer,mysql
CLOUD_ENGINEER,SK009,0.2593,0.2593,Cloud Engineer,git
CLOUD_ENGINEER,SK010,0.0222,0.0222,Cloud Engineer,java developer
CLOUD_ENGINEER,SK011,0.3407,0.3407,Cloud Engineer,infrastructure
CLOUD_ENGINEER,SK012,0.1185,0.1185,Cloud Engineer,database
CLOUD_ENGINEER,SK013,0.163,0.163,Cloud Engineer,rest
CLOUD_ENGINEER,SK015,0.0667,0.0667,Cloud Engineer,jquery
CLOUD_ENGINEER,SK016,0.2444,0.2444,Cloud Engineer,security
CLOUD_ENGINEER,SK018,0.0148,0.0148,Cloud Engineer,spring
CLOUD_ENGINEER,SK020,0.1778,0.1778,Cloud Engineer,linux
CLOUD_ENGINEER,SK021,0.1556,0.1556,Cloud Engineer,api
CLOUD_ENGINEER,SK024,0.1852,0.1852,Cloud Engineer,devops
CLOUD_ENGINEER,SK026,0.1556,0.1556,Cloud Engineer,web developer
CLOUD_ENGINEER,SK027,0.0519,0.0519,Cloud Engineer,debugging
CLOUD_ENGINEER,SK028,0.3333,0.3333,Cloud Engineer,problem solving
CLOUD_ENGINEER,SK029,0.1111,0.1111,Cloud Engineer,docker
CLOUD_ENGINEER,SK031,0.0444,0.0444,Cloud Engineer,machine learning
CLOUD_ENGINEER,SK032,0.0815,0.0815,Cloud Engineer,oracle
CLOUD_ENGINEER,SK034,0.0519,0.0519,Cloud Engineer,algorithms
CLOUD_ENGINEER,SK035,0.2519,0.2519,Cloud Engineer,storage
CLOUD_ENGINEER,SK036,0.0148,0.0148,Cloud Engineer,spring boot
CLOUD_ENGINEER,SK037,0.0222,0.0222,Cloud Engineer,mvc
CLOUD_ENGINEER,SK038,0.0741,0.0741,Cloud Engineer,team player
CLOUD_ENGINEER,SK039,0.0963,0.0963,Cloud Engineer,nosql
CLOUD_ENGINEER,SK040,0.037,0.037,Cloud Engineer,software engineering
CLOUD_ENGINEER,SK041,0.363,0.363,Cloud Engineer,software engineer
CLOUD_ENGINEER,SK042,0.0148,0.0148,Cloud Engineer,bootstrap
CLOUD_ENGINEER,SK043,0.2148,0.2148,Cloud Engineer,big data
CLOUD_ENGINEER,SK044,0.0519,0.0519,Cloud Engineer,data structures
CLOUD_ENGINEER,SK045,0.0296,0.0296,Cloud Engineer,information technology
CLOUD_ENGINEER,SK046,0.0222,0.0222,Cloud Engineer,soap
CLOUD_ENGINEER,SK047,0.037,0.037,Cloud Engineer,mongodb
CLOUD_ENGINEER,SK049,0.0222,0.0222,Cloud Engineer,.net
CLOUD_ENGINEER,SK050,0.0444,0.0444,Cloud Engineer,written communication
CLOUD_ENGINEER,SK054,0.0222,0.0222,Cloud Engineer,oops
CLOUD_ENGINEER,SK057,0.237,0.237,Cloud Engineer,network engineer
CLOUD_ENGINEER,SK058,0.0444,0.0444,Cloud Engineer,apache
CLOUD_ENGINEER,SK060,0.1852,0.1852,Cloud Engineer,hadoop
CLOUD_ENGINEER,SK061,0.1481,0.1481,Cloud Engineer,windows
CLOUD_ENGINEER,SK063,0.0444,0.0444,Cloud Engineer,github
CLOUD_ENGINEER,SK064,0.0148,0.0148,Cloud Engineer,unix
CLOUD_ENGINEER,SK067,0.3111,0.3111,Cloud Engineer,business analyst
CLOUD_ENGINEER,SK068,0.1481,0.1481,Cloud Engineer,solution architect
CLOUD_ENGINEER,SK070,0.0222,0.0222,Cloud Engineer,android developer
CLOUD_ENGINEER,SK074,0.0593,0.0593,Cloud Engineer,fundamentals
CLOUD_ENGINEER,SK075,0.0296,0.0296,Cloud Engineer,rdbms
CLOUD_ENGINEER,SK076,0.0222,0.0222,Cloud Engineer,node.js
CLOUD_ENGINEER,SK077,0.1037,0.1037,Cloud Engineer,postgresql
CLOUD_ENGINEER,SK080,0.0222,0.0222,Cloud Engineer,technical skills
CLOUD_ENGINEER,SK082,0.0296,0.0296,Cloud Engineer,rest api
CLOUD_ENGINEER,SK085,0.0741,0.0741,Cloud Engineer,scala
CLOUD_ENGINEER,SK087,0.0815,0.0815,Cloud Engineer,messaging
CLOUD_ENGINEER,SK088,0.037,0.037,Cloud Engineer,ruby
CLOUD_ENGINEER,SK093,0.0222,0.0222,Cloud Engineer,cisco
CLOUD_ENGINEER,SK094,0.0296,0.0296,Cloud Engineer,oop
CLOUD_ENGINEER,SK095,0.1481,0.1481,Cloud Engineer,hardware
CLOUD_ENGINEER,SK098,0.0222,0.0222,Cloud Engineer,mvvm
CLOUD_ENGINEER,SK101,0.1926,0.1926,Cloud Engineer,cloud services
CLOUD_ENGINEER,SK102,0.1037,0.1037,Cloud Engineer,project manager
CLOUD_ENGINEER,SK105,0.0667,0.0667,Cloud Engineer,cassandra
CLOUD_ENGINEER,SK106,0.0815,0.0815,Cloud Engineer,hive
CLOUD_ENGINEER,SK107,0.237,0.237,Cloud Engineer,network
CLOUD_ENGINEER,SK108,0.0296,0.0296,Cloud Engineer,crm
CLOUD_ENGINEER,SK111,0.0148,0.0148,Cloud Engineer,project management
CLOUD_ENGINEER,SK112,0.0593,0.0593,Cloud Engineer,orchestration
CLOUD_ENGINEER,SK115,0.0148,0.0148,Cloud Engineer,data mining
CLOUD_ENGINEER,SK117,0.3333,0.3333,Cloud Engineer,system administrator
CLOUD_ENGINEER,SK118,0.0296,0.0296,Cloud Engineer,san
CLOUD_ENGINEER,SK120,0.0222,0.0222,Cloud Engineer,object oriented programming
CLOUD_ENGINEER,SK122,0.0815,0.0815,Cloud Engineer,software development
CLOUD_ENGINEER,SK123,0.0148,0.0148,Cloud Engineer,senior software engineer
CLOUD_ENGINEER,SK124,0.4222,0.4222,Cloud Engineer,data analyst
CLOUD_ENGINEER,SK126,0.1037,0.1037,Cloud Engineer,wan
CLOUD_ENGINEER,SK128,0.0222,0.0222,Cloud Engineer,ospf
CLOUD_ENGINEER,SK129,0.0667,0.0667,Cloud Engineer,data warehousing
CLOUD_ENGINEER,SK132,0.2,0.2,Cloud Engineer,networking
CLOUD_ENGINEER,SK135,0.1778,0.1778,Cloud Engineer,testing
CLOUD_ENGINEER,SK136,0.1259,0.1259,Cloud Engineer,cloud computing
CLOUD_ENGINEER,SK138,0.0148,0.0148,Cloud Engineer,hardware engineer
CLOUD_ENGINEER,SK139,0.0667,0.0667,Cloud Engineer,system engineer
CLOUD_ENGINEER,SK144,0.0148,0.0148,Cloud Engineer,hosting
CLOUD_ENGINEER,SK145,0.037,0.037,Cloud Engineer,business analysis
CLOUD_ENGINEER,SK148,0.0889,0.0889,Cloud Engineer,business requirements
CLOUD_ENGINEER,SK152,0.0741,0.0741,Cloud Engineer,web services
CLOUD_ENGINEER,SK155,0.0963,0.0963,Cloud Engineer,gateway
CLOUD_ENGINEER,SK156,0.0667,0.0667,Cloud Engineer,routing
CLOUD_ENGINEER,SK157,0.037,0.037,Cloud Engineer,application development
CLOUD_ENGINEER,SK159,0.1111,0.1111,Cloud Engineer,protocols
CLOUD_ENGINEER,SK161,0.2593,0.2593,Cloud Engineer,agile
CLOUD_ENGINEER,SK162,0.1185,0.1185,Cloud Engineer,lan
CLOUD_ENGINEER,SK164,0.0222,0.0222,Cloud Engineer,consultant
CLOUD_ENGINEER,SK165,0.0815,0.0815,Cloud Engineer,firewall
CLOUD_ENGINEER,SK166,0.0963,0.0963,Cloud Engineer,coding
CLOUD_ENGINEER,SK168,0.0963,0.0963,Cloud Engineer,vpn
CLOUD_ENGINEER,SK170,0.0222,0.0222,Cloud Engineer,routing protocols
CLOUD_ENGINEER,SK173,0.0741,0.0741,Cloud Engineer,dns
CLOUD_ENGINEER,SK174,0.1333,0.1333,Cloud Engineer,microsoft azure
CLOUD_ENGINEER,SK177,0.0222,0.0222,Cloud Engineer,data analysis
CLOUD_ENGINEER,SK181,0.7037,0.7037,Cloud Engineer,aws
CLOUD_ENGINEER,SK182,0.1407,0.1407,Cloud Engineer,configuration
CLOUD_ENGINEER,SK184,0.0148,0.0148,Cloud Engineer,technical requirements
CLOUD_ENGINEER,SK187,0.0148,0.0148,Cloud Engineer,operating system
CLOUD_ENGINEER,SK192,0.2296,0.2296,Cloud Engineer,etl
CLOUD_ENGINEER,SK197,0.0519,0.0519,Cloud Engineer,windows server
CLOUD_ENGINEER,SK202,0.0741,0.0741,Cloud Engineer,installation
CLOUD_ENGINEER,SK204,0.0222,0.0222,Cloud Engineer,sqlite
CLOUD_ENGINEER,SK205,0.0296,0.0296,Cloud Engineer,design patterns
CLOUD_ENGINEER,SK209,0.0296,0.0296,Cloud Engineer,network administrator
CLOUD_ENGINEER,SK217,0.0296,0.0296,Cloud Engineer,tableau
CLOUD_ENGINEER,SK218,0.0148,0.0148,Cloud Engineer,system architecture
CLOUD_ENGINEER,SK221,0.0222,0.0222,Cloud Engineer,eigrp
CLOUD_ENGINEER,SK225,0.3259,0.3259,Cloud Engineer,it manager
CLOUD_ENGINEER,SK226,0.0296,0.0296,Cloud Engineer,use cases
CLOUD_ENGINEER,SK227,0.037,0.037,Cloud Engineer,iam
CLOUD_ENGINEER,SK230,0.0296,0.0296,Cloud Engineer,technology consulting
CLOUD_ENGINEER,SK235,0.0444,0.0444,Cloud Engineer,ipsec
CLOUD_ENGINEER,SK239,0.0741,0.0741,Cloud Engineer,computer science
CLOUD_ENGINEER,SK240,0.037,0.037,Cloud Engineer,salesforce
CLOUD_ENGINEER,SK242,0.2222,0.2222,Cloud Engineer,data engineer
CLOUD_ENGINEER,SK247,0.0519,0.0519,Cloud Engineer,cli
CLOUD_ENGINEER,SK250,0.037,0.037,Cloud Engineer,dhcp
CLOUD_ENGINEER,SK252,0.0222,0.0222,Cloud Engineer,mqtt
CLOUD_ENGINEER,SK254,0.0296,0.0296,Cloud Engineer,information systems
CLOUD_ENGINEER,SK255,0.0222,0.0222,Cloud Engineer,computer engineering
CLOUD_ENGINEER,SK257,0.0222,0.0222,Cloud Engineer,production environment
CLOUD_ENGINEER,SK259,0.0519,0.0519,Cloud Engineer,system administration
CLOUD_ENGINEER,SK260,0.0222,0.0222,Cloud Engineer,desktop support engineer
CLOUD_ENGINEER,SK261,0.0963,0.0963,Cloud Engineer,jira
CLOUD_ENGINEER,SK265,0.0222,0.0222,Cloud Engineer,android
CLOUD_ENGINEER,SK266,0.0444,0.0444,Cloud Engineer,functional requirements
CLOUD_ENGINEER,SK270,0.0148,0.0148,Cloud Engineer,dashboards
CLOUD_ENGINEER,SK271,0.1037,0.1037,Cloud Engineer,troubleshooting
CLOUD_ENGINEER,SK273,0.037,0.037,Cloud Engineer,data visualization
CLOUD_ENGINEER,SK277,0.037,0.037,Cloud Engineer,data science
CLOUD_ENGINEER,SK282,0.0815,0.0815,Cloud Engineer,implementation
CLOUD_ENGINEER,SK285,0.1481,0.1481,Cloud Engineer,programming
CLOUD_ENGINEER,SK288,0.0963,0.0963,Cloud Engineer,desktop engineer
CLOUD_ENGINEER,SK289,0.0222,0.0222,Cloud Engineer,mvp
CLOUD_ENGINEER,SK301,0.0148,0.0148,Cloud Engineer,rust
CLOUD_ENGINEER,SK302,0.0148,0.0148,Cloud Engineer,go
CLOUD_ENGINEER,SK312,0.0963,0.0963,Cloud Engineer,typescript
