Timestamp,What is your current academic level?,What is your primary source of funding for your studies and living expenses?,What is your approximate monthly income/financial support? (in LKR),How much do you spend on TRANSPORTATION per month? (in LKR),Rate your comfort level with your current financial situation.,How would you rate the affordability of the following expenses in your area? [Accommodation (Rent/Housing)],How would you rate the affordability of the following expenses in your area? [Groceries/Food],"How would you rate the affordability of the following expenses in your area? [Course Materials (Books, supplies)]",How would you rate the affordability of the following expenses in your area? [Transportation],How would you rate the affordability of the following expenses in your area? [Social/Leisure Activities],In which areas do you wish you had more financial assistance or resources?,Approximately how many hours per week do you spend working (paid job)?,Please provide any additional comments on your student budget or financial challenges.
07/11/2025 07:22:58,Postgraduate,Parental/Family Support,"Less than LKR 15,000",422,4,Neutral,Very Affordable,Affordable,Very Affordable,Very Affordable,"Emergency Funding, Career Development Workshops",11-15 hours,The country sucks
21/11/2025 21:53:31,Undergraduate,"Scholarship/Grants, Parental/Family Support, Savings","LKR 35,001 - 50,000",7104,4,Very Affordable,Very Unaffordable,Very Unaffordable,Affordable,Very Unaffordable,"Accommodation, Groceries/Food, Career Development Workshops",6-10 hours,
29/10/2025 02:27:10,Undergraduate,Savings,Prefer not to say,8623,2,Very Affordable,Very Unaffordable,Very Affordable,Unaffordable,Very Unaffordable,"Accommodation, Mental Health Services",11-15 hours,
17/11/2025 13:42:39,Postgraduate,Scholarship/Grants,"LKR 25,001 - 35,000",9914,3,Neutral,Affordable,Unaffordable,Very Unaffordable,Neutral,"None of the above, Groceries/Food",1-5 hours,
17/11/2025 01:53:53,Postgraduate,"Scholarship/Grants, Part-time Job","Less than LKR 15,000",506,4,Unaffordable,Unaffordable,Very Affordable,Very Affordable,Very Unaffordable,"Emergency Funding, None of the above, Career Development Workshops",16-20 hours,
08/11/2025 08:29:58,Undergraduate,"Scholarship/Grants, Parental/Family Support, Savings","LKR 25,001 - 35,000",3204,4,Affordable,Affordable,Very Affordable,Affordable,Very Unaffordable,Mental Health Services,11-15 hours,The country sucks
06/11/2025 05:48:53,Postgraduate,"Scholarship/Grants, Savings","LKR 15,001 - 25,000",4923,4,Very Unaffordable,Neutral,Very Unaffordable,Unaffordable,Neutral,"Groceries/Food, Mental Health Services, None of the above",1-5 hours,Financial stress is very high this semester.
05/11/2025 07:16:05,Undergraduate,Part-time Job,"Less than LKR 15,000",705,2,Very Unaffordable,Very Unaffordable,Unaffordable,Very Unaffordable,Neutral,"Accommodation, None of the above",16-20 hours,
03/11/2025 02:55:20,Undergraduate,"Savings, Student Loans, Parental/Family Support","LKR 50,001 - 75,000",15886,3,Unaffordable,Very Unaffordable,Unaffordable,Unaffordable,Very Affordable,"None of the above, Career Development Workshops",6-10 hours,Financial stress is very high this semester.
22/11/2025 07:29:10,Postgraduate,"Part-time Job, Student Loans, Scholarship/Grants","LKR 35,001 - 50,000",2441,2,Very Affordable,Very Affordable,Very Affordable,Very Affordable,Very Affordable,"Career Development Workshops, Emergency Funding, None of the above",6-10 hours,
05/11/2025 02:34:17,Postgraduate,Part-time Job,"LKR 35,001 - 50,000",6612,4,Very Affordable,Very Unaffordable,Neutral,Unaffordable,Very Unaffordable,"Mental Health Services, Career Development Workshops, Groceries/Food",11-15 hours,The country sucks
30/10/2025 14:16:37,Undergraduate,"Part-time Job, Other (e.g., Freelancing), Scholarship/Grants","Less than LKR 15,000",435,5,Very Affordable,Neutral,Very Unaffordable,Affordable,Very Unaffordable,Emergency Funding,More than 20 hours,Scholarship funds are delayed.
31/10/2025 12:07:17,Undergraduate,"Parental/Family Support, Other (e.g., Freelancing)","LKR 35,001 - 50,000",2908,2,Neutral,Unaffordable,Unaffordable,Neutral,Very Unaffordable,Groceries/Food,More than 20 hours,Scholarship funds are delayed.
31/10/2025 21:20:59,Postgraduate,"Savings, Parental/Family Support","LKR 25,001 - 35,000",7619,5,Affordable,Very Affordable,Unaffordable,Unaffordable,Affordable,Emergency Funding,More than 20 hours,The country sucks
17/11/2025 12:26:08,Undergraduate,Parental/Family Support,"Less than LKR 15,000",605,2,Unaffordable,Unaffordable,Affordable,Very Affordable,Neutral,"Accommodation, Groceries/Food, Career Development Workshops",0 hours,Scholarship funds are delayed.
08/11/2025 08:44:47,Postgraduate,Part-time Job,Prefer not to say,3114,2,Affordable,Affordable,Very Unaffordable,Very Unaffordable,Unaffordable,Groceries/Food,16-20 hours,
17/11/2025 17:08:51,Undergraduate,"Student Loans, Scholarship/Grants","LKR 50,001 - 75,000",11694,3,Very Affordable,Very Affordable,Very Affordable,Affordable,Neutral,"Career Development Workshops, Accommodation",More than 20 hours,
17/11/2025 20:15:25,Undergraduate,Savings,"LKR 35,001 - 50,000",2950,4,Neutral,Neutral,Very Unaffordable,Affordable,Affordable,"Mental Health Services, Tuition Fees",0 hours,I need to work more to cover rent.
26/10/2025 04:06:05,Undergraduate,"Savings, Other (e.g., Freelancing), Student Loans","LKR 50,001 - 75,000",12771,1,Very Unaffordable,Neutral,Very Unaffordable,Unaffordable,Very Unaffordable,"Career Development Workshops, Mental Health Services",0 hours,I need to work more to cover rent.
21/11/2025 04:58:25,Postgraduate,"Savings, Parental/Family Support","More than LKR 75,000",29813,3,Very Affordable,Affordable,Affordable,Very Affordable,Unaffordable,None of the above,6-10 hours,Scholarship funds are delayed.
20/11/2025 03:35:40,Postgraduate,"Savings, Part-time Job, Parental/Family Support","Less than LKR 15,000",172,3,Very Affordable,Very Unaffordable,Affordable,Neutral,Very Unaffordable,Tuition Fees,6-10 hours,The country sucks
02/11/2025 11:37:56,Postgraduate,"Other (e.g., Freelancing), Savings, Student Loans","LKR 25,001 - 35,000",6856,5,Affordable,Unaffordable,Neutral,Very Affordable,Very Unaffordable,"Career Development Workshops, Tuition Fees",More than 20 hours,Financial stress is very high this semester.
28/10/2025 07:01:41,Postgraduate,Part-time Job,"LKR 25,001 - 35,000",7373,5,Affordable,Neutral,Very Affordable,Very Affordable,Very Affordable,Mental Health Services,0 hours,
11/11/2025 07:25:53,Undergraduate,"Parental/Family Support, Part-time Job","Less than LKR 15,000",880,4,Very Affordable,Very Unaffordable,Very Affordable,Unaffordable,Unaffordable,None of the above,More than 20 hours,Financial stress is very high this semester.
08/11/2025 21:58:34,Postgraduate,"Scholarship/Grants, Part-time Job",Prefer not to say,9456,1,Very Affordable,Neutral,Very Affordable,Neutral,Very Unaffordable,"Groceries/Food, Career Development Workshops, Mental Health Services",16-20 hours,Financial stress is very high this semester.
26/10/2025 19:01:03,Postgraduate,Savings,"More than LKR 75,000",11005,3,Unaffordable,Very Affordable,Affordable,Very Affordable,Very Affordable,Career Development Workshops,0 hours,
20/11/2025 21:58:30,Undergraduate,"Student Loans, Savings, Parental/Family Support","Less than LKR 15,000",247,2,Very Affordable,Neutral,Very Unaffordable,Very Affordable,Very Unaffordable,"Tuition Fees, Groceries/Food",16-20 hours,
30/10/2025 16:21:04,Postgraduate,"Part-time Job, Student Loans, Parental/Family Support",Prefer not to say,6069,5,Neutral,Very Affordable,Very Unaffordable,Affordable,Unaffordable,None of the above,More than 20 hours,Financial stress is very high this semester.
30/10/2025 07:40:40,Postgraduate,Part-time Job,"LKR 15,001 - 25,000",4745,4,Very Affordable,Unaffordable,Unaffordable,Affordable,Very Affordable,"Emergency Funding, None of the above, Tuition Fees",1-5 hours,Financial stress is very high this semester.
28/10/2025 08:05:27,Postgraduate,"Scholarship/Grants, Savings","LKR 25,001 - 35,000",7340,4,Unaffordable,Unaffordable,Very Affordable,Neutral,Very Unaffordable,"Emergency Funding, Tuition Fees",16-20 hours,
21/11/2025 17:45:49,Undergraduate,"Savings, Scholarship/Grants","LKR 25,001 - 35,000",8706,5,Very Unaffordable,Unaffordable,Very Affordable,Very Unaffordable,Unaffordable,"Groceries/Food, None of the above",11-15 hours,
06/11/2025 21:47:45,Undergraduate,"Other (e.g., Freelancing), Student Loans, Scholarship/Grants","LKR 15,001 - 25,000",6221,4,Neutral,Unaffordable,Neutral,Very Affordable,Affordable,"Career Development Workshops, Mental Health Services",0 hours,
24/11/2025 10:18:50,Postgraduate,Student Loans,"Less than LKR 15,000",803,2,Unaffordable,Neutral,Affordable,Very Affordable,Very Unaffordable,Tuition Fees,1-5 hours,
29/10/2025 22:10:32,Postgraduate,Student Loans,"Less than LKR 15,000",144,5,Affordable,Affordable,Very Affordable,Affordable,Affordable,"Tuition Fees, Career Development Workshops, None of the above",6-10 hours,
07/11/2025 16:08:22,Undergraduate,"Savings, Student Loans","Less than LKR 15,000",850,4,Neutral,Very Unaffordable,Very Unaffordable,Neutral,Very Affordable,"Tuition Fees, Career Development Workshops",6-10 hours,Financial stress is very high this semester.
10/11/2025 15:40:10,Undergraduate,Student Loans,"LKR 15,001 - 25,000",1804,4,Neutral,Very Unaffordable,Neutral,Affordable,Neutral,"Mental Health Services, None of the above, Groceries/Food",16-20 hours,
09/11/2025 10:45:20,Postgraduate,Student Loans,Prefer not to say,7651,1,Very Affordable,Very Unaffordable,Affordable,Affordable,Very Unaffordable,"Mental Health Services, Emergency Funding, Accommodation",1-5 hours,I need to work more to cover rent.
05/11/2025 06:29:30,Postgraduate,"Other (e.g., Freelancing), Scholarship/Grants, Savings","LKR 50,001 - 75,000",5884,1,Affordable,Very Affordable,Neutral,Very Unaffordable,Unaffordable,Emergency Funding,0 hours,
29/10/2025 02:31:07,Postgraduate,"Other (e.g., Freelancing), Savings, Part-time Job","LKR 35,001 - 50,000",9027,2,Very Affordable,Neutral,Unaffordable,Neutral,Neutral,"Career Development Workshops, Mental Health Services, Tuition Fees",1-5 hours,
06/11/2025 12:14:01,Postgraduate,Savings,"Less than LKR 15,000",933,2,Very Unaffordable,Very Affordable,Very Unaffordable,Unaffordable,Affordable,Tuition Fees,6-10 hours,
17/11/2025 01:57:08,Postgraduate,"Other (e.g., Freelancing)","LKR 35,001 - 50,000",2847,1,Neutral,Very Unaffordable,Very Affordable,Unaffordable,Very Affordable,"Mental Health Services, None of the above, Groceries/Food",1-5 hours,Scholarship funds are delayed.
24/11/2025 13:44:30,Postgraduate,Student Loans,"LKR 35,001 - 50,000",1376,4,Very Unaffordable,Very Unaffordable,Neutral,Neutral,Neutral,"Groceries/Food, Mental Health Services",More than 20 hours,The country sucks
05/11/2025 02:18:46,Postgraduate,Savings,"LKR 50,001 - 75,000",11479,3,Neutral,Very Unaffordable,Unaffordable,Unaffordable,Affordable,Career Development Workshops,11-15 hours,The country sucks
01/11/2025 03:07:33,Undergraduate,Savings,"LKR 25,001 - 35,000",3145,3,Affordable,Very Unaffordable,Very Affordable,Affordable,Very Unaffordable,"Emergency Funding, Accommodation, None of the above",6-10 hours,
16/11/2025 19:43:19,Undergraduate,Student Loans,"LKR 25,001 - 35,000",6050,2,Affordable,Unaffordable,Very Unaffordable,Unaffordable,Neutral,"None of the above, Mental Health Services, Accommodation",11-15 hours,
08/11/2025 17:17:32,Undergraduate,Parental/Family Support,"LKR 50,001 - 75,000",10027,5,Neutral,Neutral,Unaffordable,Neutral,Very Unaffordable,"Career Development Workshops, None of the above, Tuition Fees",16-20 hours,
10/11/2025 19:49:30,Undergraduate,"Parental/Family Support, Savings, Scholarship/Grants","LKR 15,001 - 25,000",3280,1,Very Unaffordable,Very Unaffordable,Unaffordable,Affordable,Very Affordable,Groceries/Food,1-5 hours,
28/10/2025 09:16:06,Postgraduate,"Student Loans, Part-time Job",Prefer not to say,2405,4,Neutral,Affordable,Very Affordable,Affordable,Very Affordable,"None of the above, Mental Health Services",16-20 hours,
29/10/2025 19:10:13,Postgraduate,"Parental/Family Support, Scholarship/Grants","Less than LKR 15,000",683,1,Neutral,Very Unaffordable,Unaffordable,Affordable,Unaffordable,Emergency Funding,16-20 hours,
12/11/2025 17:53:36,Undergraduate,"Part-time Job, Other (e.g., Freelancing), Student Loans",Prefer not to say,8565,1,Neutral,Very Unaffordable,Very Unaffordable,Affordable,Very Unaffordable,"Mental Health Services, Emergency Funding",0 hours,Scholarship funds are delayed.
13/11/2025 20:08:41,Postgraduate,"Other (e.g., Freelancing), Savings","LKR 25,001 - 35,000",2497,1,Very Unaffordable,Affordable,Very Unaffordable,Very Affordable,Affordable,"Groceries/Food, Mental Health Services",16-20 hours,The country sucks
01/11/2025 08:32:01,Postgraduate,Savings,"LKR 25,001 - 35,000",7363,2,Very Affordable,Affordable,Unaffordable,Affordable,Very Unaffordable,"Groceries/Food, Mental Health Services",1-5 hours,
04/11/2025 21:10:21,Undergraduate,Scholarship/Grants,Prefer not to say,5314,5,Neutral,Neutral,Neutral,Neutral,Neutral,"Emergency Funding, Tuition Fees, None of the above",11-15 hours,
14/11/2025 19:35:41,Postgraduate,"Part-time Job, Student Loans","LKR 15,001 - 25,000",6223,2,Neutral,Very Unaffordable,Unaffordable,Neutral,Very Affordable,"Accommodation, Emergency Funding, Career Development Workshops",0 hours,The country sucks
07/11/2025 19:34:15,Postgraduate,Parental/Family Support,"LKR 25,001 - 35,000",6740,1,Neutral,Very Affordable,Neutral,Very Unaffordable,Unaffordable,None of the above,More than 20 hours,Scholarship funds are delayed.
11/11/2025 13:51:35,Postgraduate,Part-time Job,"LKR 15,001 - 25,000",9580,5,Affordable,Affordable,Very Affordable,Affordable,Unaffordable,"Emergency Funding, Mental Health Services",6-10 hours,Financial stress is very high this semester.
02/11/2025 10:33:29,Undergraduate,Part-time Job,"More than LKR 75,000",16299,2,Unaffordable,Affordable,Neutral,Very Affordable,Unaffordable,Mental Health Services,11-15 hours,
21/11/2025 00:08:35,Postgraduate,"Savings, Scholarship/Grants, Parental/Family Support",Prefer not to say,8142,4,Neutral,Very Affordable,Affordable,Very Unaffordable,Very Affordable,Career Development Workshops,More than 20 hours,I need to work more to cover rent.
15/11/2025 23:07:17,Undergraduate,"Other (e.g., Freelancing), Parental/Family Support, Savings",Prefer not to say,7553,5,Neutral,Neutral,Very Affordable,Affordable,Very Unaffordable,Emergency Funding,6-10 hours,
18/11/2025 15:35:20,Postgraduate,"Savings, Part-time Job","LKR 15,001 - 25,000",3370,3,Very Unaffordable,Very Affordable,Very Affordable,Very Unaffordable,Unaffordable,"None of the above, Emergency Funding",0 hours,
02/11/2025 17:30:13,Undergraduate,Savings,Prefer not to say,2813,4,Very Affordable,Unaffordable,Affordable,Affordable,Neutral,"Groceries/Food, Emergency Funding",16-20 hours,
11/11/2025 16:49:07,Undergraduate,"Part-time Job, Other (e.g., Freelancing)","LKR 25,001 - 35,000",7018,1,Unaffordable,Very Affordable,Neutral,Very Affordable,Very Unaffordable,"Emergency Funding, None of the above, Career Development Workshops",1-5 hours,Scholarship funds are delayed.
04/11/2025 02:41:39,Undergraduate,"Part-time Job, Scholarship/Grants, Savings","LKR 50,001 - 75,000",11225,5,Unaffordable,Very Unaffordable,Very Affordable,Very Unaffordable,Very Unaffordable,"None of the above, Emergency Funding, Career Development Workshops",More than 20 hours,
20/11/2025 14:17:15,Undergraduate,"Student Loans, Parental/Family Support","LKR 15,001 - 25,000",9656,2,Unaffordable,Unaffordable,Very Affordable,Unaffordable,Very Affordable,Mental Health Services,6-10 hours,Financial stress is very high this semester.
25/10/2025 22:55:17,Postgraduate,Parental/Family Support,"LKR 50,001 - 75,000",16544,2,Unaffordable,Very Affordable,Neutral,Affordable,Very Unaffordable,"Emergency Funding, Accommodation",1-5 hours,
26/10/2025 08:30:16,Undergraduate,"Other (e.g., Freelancing)","LKR 15,001 - 25,000",2552,1,Unaffordable,Very Affordable,Very Affordable,Very Affordable,Very Unaffordable,"Emergency Funding, Career Development Workshops",0 hours,
28/10/2025 17:25:53,Postgraduate,Parental/Family Support,"LKR 50,001 - 75,000",6446,2,Affordable,Affordable,Very Affordable,Very Unaffordable,Neutral,Tuition Fees,0 hours,
29/10/2025 07:25:17,Postgraduate,"Savings, Other (e.g., Freelancing)","Less than LKR 15,000",732,1,Very Unaffordable,Unaffordable,Unaffordable,Very Affordable,Very Affordable,"Emergency Funding, Mental Health Services",6-10 hours,
06/11/2025 10:09:36,Undergraduate,"Other (e.g., Freelancing)","Less than LKR 15,000",139,2,Unaffordable,Unaffordable,Affordable,Very Affordable,Very Unaffordable,Emergency Funding,1-5 hours,Scholarship funds are delayed.
08/11/2025 09:34:15,Undergraduate,"Student Loans, Scholarship/Grants, Other (e.g., Freelancing)","More than LKR 75,000",7136,3,Affordable,Very Unaffordable,Very Unaffordable,Very Affordable,Very Unaffordable,Mental Health Services,11-15 hours,I need to work more to cover rent.
27/10/2025 14:54:41,Postgraduate,"Savings, Other (e.g., Freelancing)","More than LKR 75,000",16490,1,Neutral,Unaffordable,Very Affordable,Unaffordable,Affordable,"None of the above, Groceries/Food, Tuition Fees",6-10 hours,
25/10/2025 17:02:29,Undergraduate,"Part-time Job, Other (e.g., Freelancing)","LKR 15,001 - 25,000",4118,5,Very Unaffordable,Very Unaffordable,Very Affordable,Unaffordable,Affordable,"Tuition Fees, None of the above",More than 20 hours,Financial stress is very high this semester.
31/10/2025 00:51:09,Postgraduate,"Other (e.g., Freelancing), Savings, Scholarship/Grants","LKR 35,001 - 50,000",5070,5,Very Affordable,Affordable,Neutral,Affordable,Unaffordable,"Groceries/Food, Tuition Fees",0 hours,Scholarship funds are delayed.
09/11/2025 09:59:55,Postgraduate,"Savings, Parental/Family Support, Part-time Job","LKR 25,001 - 35,000",3296,1,Neutral,Very Affordable,Very Affordable,Very Affordable,Neutral,Tuition Fees,0 hours,
28/10/2025 08:42:48,Postgraduate,"Part-time Job, Student Loans","LKR 50,001 - 75,000",8673,5,Neutral,Affordable,Very Unaffordable,Very Unaffordable,Very Affordable,Accommodation,1-5 hours,Financial stress is very high this semester.
20/11/2025 03:21:34,Undergraduate,"Parental/Family Support, Other (e.g., Freelancing), Part-time Job","LKR 25,001 - 35,000",3069,1,Neutral,Unaffordable,Very Affordable,Neutral,Very Unaffordable,"Mental Health Services, Tuition Fees, Emergency Funding",11-15 hours,
03/11/2025 13:10:32,Postgraduate,"Other (e.g., Freelancing)","Less than LKR 15,000",870,3,Neutral,Neutral,Very Unaffordable,Very Affordable,Unaffordable,"Groceries/Food, Career Development Workshops, Tuition Fees",6-10 hours,
06/11/2025 23:16:34,Postgraduate,"Part-time Job, Savings, Parental/Family Support","LKR 25,001 - 35,000",5548,3,Unaffordable,Neutral,Neutral,Unaffordable,Affordable,"None of the above, Groceries/Food",6-10 hours,I need to work more to cover rent.
21/11/2025 02:29:30,Postgraduate,"Savings, Scholarship/Grants, Student Loans","LKR 35,001 - 50,000",3879,4,Neutral,Neutral,Unaffordable,Very Unaffordable,Affordable,"None of the above, Groceries/Food",0 hours,I need to work more to cover rent.
19/11/2025 05:29:59,Postgraduate,Student Loans,"LKR 15,001 - 25,000",4437,4,Affordable,Neutral,Very Unaffordable,Unaffordable,Affordable,"Groceries/Food, Tuition Fees, Mental Health Services",0 hours,Scholarship funds are delayed.
22/11/2025 05:01:06,Postgraduate,"Scholarship/Grants, Student Loans","More than LKR 75,000",26999,1,Very Unaffordable,Neutral,Neutral,Affordable,Very Affordable,Accommodation,0 hours,Scholarship funds are delayed.
