job_uid,role_id,detected_domain,core_count,supporting_count,optional_count,generic_soft_count,domain_signal_count,total_skills
JOBS_000028,JR_PROJECT_MANAGER,PROJECT_MANAGEMENT,2,0,13,1,1,17
JOBS_000029,PRINCIPAL_ENGINEER,FULLSTACK_ENGINEERING,0,0,13,4,2,19
JOBS_000030,BE_DEV,FULLSTACK_ENGINEERING,3,6,22,4,15,50
JOBS_000031,SENIOR_BE_DEV,FULLSTACK_ENGINEERING,0,3,15,5,5,28
JOBS_000032,BE_DEV,FULLSTACK_ENGINEERING,0,0,10,5,1,16
JOBS_000033,FE_DEV,FULLSTACK_ENGINEERING,3,3,7,5,7,25
JOBS_000034,SENIOR_BE_DEV,FULLSTACK_ENGINEERING,0,3,25,3,10,41
JOBS_000035,QA_AUTOMATION_ENG,QA_TESTING,1,1,9,4,1,16
JOBS_000036,BE_DEV,FULLSTACK_ENGINEERING,3,2,6,6,5,22
JOBS_000037,LEAD_BE_DEV,FULLSTACK_ENGINEERING,0,3,26,4,10,43
JOBS_000038,SENIOR_FE_DEV,FULLSTACK_ENGINEERING,3,3,11,2,6,25
JOBS_000039,DATA_ENGINEER,DATA_ENGINEERING,6,0,12,4,4,26
JOBS_000040,JR_PROJECT_MANAGER,PROJECT_MANAGEMENT,5,2,19,6,1,33
JOBS_000041,SENIOR_QA_AUTOMATION,QA_TESTING,2,4,20,8,8,42
JOBS_000042,SENIOR_QA_AUTOMATION,QA_TESTING,2,4,16,2,5,29
JOBS_000043,LEAD_MOBILE_DEV,MOBILE_ENGINEERING,3,2,25,5,6,41
JOBS_000044,BE_DEV,FULLSTACK_ENGINEERING,1,3,22,6,8,40
JOBS_000045,SENIOR_SRE,DEVOPS_SRE,0,2,9,1,3,15
JOBS_000046,SENIOR_SECURITY_ENG,SECURITY,0,1,16,6,6,29
JOBS_000047,BE_DEV,FULLSTACK_ENGINEERING,1,1,24,9,8,43
JOBS_000048,SECURITY_ENGINEER,SECURITY,2,2,22,5,4,35
JOBS_000049,SE_II,FULLSTACK_ENGINEERING,0,0,24,0,4,28
JOBS_000050,LEAD_QA_ENG,QA_TESTING,2,1,21,3,4,31
JOBS_000051,CLOUD_ENGINEER,CLOUD_ENGINEERING,4,3,33,3,6,49
JOBS_000052,SENIOR_MOBILE_DEV,MOBILE_ENGINEERING,5,2,21,4,5,37
JOBS_000053,BE_DEV,FULLSTACK_ENGINEERING,0,0,14,3,2,19
JOBS_000054,STAFF_ENGINEER,FULLSTACK_ENGINEERING,0,0,23,4,3,30
JOBS_000055,MOBILE_DEV,MOBILE_ENGINEERING,3,1,32,7,3,46
JOBS_000056,QA_AUTOMATION_ENG,QA_TESTING,2,3,9,4,3,21
JOBS_000057,QA_AUTOMATION_ENG,QA_TESTING,2,3,7,5,1,18
JOBS_000058,SRE,DEVOPS_SRE,1,1,21,5,3,31
JOBS_000059,DATA_ENGINEER,DATA_ENGINEERING,1,0,11,5,6,23
JOBS_000060,BE_DEV,FULLSTACK_ENGINEERING,1,0,10,3,2,16
JOBS_000061,SE_II,FULLSTACK_ENGINEERING,0,0,9,2,2,13
JOBS_000062,BE_DEV,FULLSTACK_ENGINEERING,2,1,20,6,4,33
JOBS_000063,DATA_ENGINEER,DATA_ENGINEERING,2,2,19,5,3,31
JOBS_000064,BE_DEV,FULLSTACK_ENGINEERING,1,4,24,6,8,43
JOBS_000065,BE_DEV,FULLSTACK_ENGINEERING,0,3,9,1,4,17
JOBS_000066,BE_DEV,FULLSTACK_ENGINEERING,1,1,17,2,12,33
JOBS_000067,BE_DEV,FULLSTACK_ENGINEERING,0,0,15,3,5,23
JOBS_000068,BE_DEV,FULLSTACK_ENGINEERING,0,0,6,2,3,11
JOBS_000069,ML_RESEARCH_SCIENTIST,AI_ML,2,1,13,3,3,22
JOBS_000070,SECURITY_ENGINEER,SECURITY,0,3,12,3,5,23
JOBS_000071,BE_DEV,FULLSTACK_ENGINEERING,0,1,11,6,1,19
JOBS_000072,SE_II,FULLSTACK_ENGINEERING,0,0,15,5,2,22
JOBS_000073,QA_AUTOMATION_ENG,QA_TESTING,1,0,6,2,0,9
JOBS_000074,MOBILE_DEV,MOBILE_ENGINEERING,3,2,8,3,3,19
JOBS_000075,BE_DEV,FULLSTACK_ENGINEERING,1,4,8,5,2,20
JOBS_000076,FE_DEV,FULLSTACK_ENGINEERING,4,3,8,5,0,20
JOBS_000077,SENIOR_FE_DEV,FULLSTACK_ENGINEERING,2,1,12,8,3,26
JOBS_000078,SENIOR_FE_DEV,FULLSTACK_ENGINEERING,2,4,15,6,5,32
JOBS_000079,SENIOR_PROGRAM_MANAGER,FULLSTACK_ENGINEERING,0,0,14,6,3,23
JOBS_000080,MOBILE_DEV,MOBILE_ENGINEERING,3,0,9,2,2,16
JOBS_000081,FE_DEV,FULLSTACK_ENGINEERING,2,3,10,3,7,25
JOBS_000082,SENIOR_FE_DEV,FULLSTACK_ENGINEERING,2,5,15,8,6,36
JOBS_000083,SENIOR_QA_AUTOMATION,QA_TESTING,2,2,12,5,2,23
JOBS_000084,SENIOR_PROGRAM_MANAGER,FULLSTACK_ENGINEERING,0,3,16,9,6,34
JOBS_000085,SENIOR_BE_DEV,FULLSTACK_ENGINEERING,3,2,6,2,1,14
JOBS_000086,DATA_ENGINEER,DATA_ENGINEERING,1,0,3,1,0,5
JOBS_000087,SE_II,FULLSTACK_ENGINEERING,0,0,3,2,0,5
JOBS_000088,BE_DEV,FULLSTACK_ENGINEERING,2,3,13,1,5,24
JOBS_000089,MOBILE_DEV,MOBILE_ENGINEERING,3,2,11,1,4,21
JOBS_000090,DATA_ENGINEER,DATA_ENGINEERING,0,0,5,0,3,8
JOBS_000091,BE_DEV,FULLSTACK_ENGINEERING,2,4,9,0,3,18
JOBS_000092,JR_PROJECT_MANAGER,PROJECT_MANAGEMENT,3,1,6,0,2,12
JOBS_000093,QA_AUTOMATION_ENG,QA_TESTING,2,2,4,0,1,9
JOBS_000094,DATA_ENGINEER,DATA_ENGINEERING,1,0,7,0,5,13
JOBS_000095,DATA_ENGINEER,DATA_ENGINEERING,2,0,11,0,2,15
JOBS_000096,UI_UX_DESIGNER,UI_UX_DESIGN,0,0,2,2,0,4
JOBS_000097,JR_PROJECT_MANAGER,PROJECT_MANAGEMENT,3,1,6,0,0,10
JOBS_000098,BE_DEV,FULLSTACK_ENGINEERING,2,3,9,1,3,18
JOBS_000099,SENIOR_DATA_ENGINEER,DATA_ENGINEERING,2,0,3,0,1,6
JOBS_000100,SRE,DEVOPS_SRE,1,1,2,1,0,5
JOBS_000101,STAFF_SRE,DEVOPS_SRE,1,1,3,0,1,6
JOBS_000102,SE_II,FULLSTACK_ENGINEERING,0,1,2,2,0,5
JOBS_000103,UI_UX_DESIGNER,UI_UX_DESIGN,0,0,2,1,2,5
JOBS_000104,SENIOR_SRE,DEVOPS_SRE,6,1,8,0,6,21
JOBS_000105,RESEARCH_SCIENTIST,FULLSTACK_ENGINEERING,1,1,1,0,3,6
JOBS_000106,DATA_ENGINEER,DATA_ENGINEERING,1,0,14,1,8,24
JOBS_000107,SENIOR_ML_ENGINEER,AI_ML,0,1,7,0,1,9
JOBS_000108,DATA_ENGINEER,DATA_ENGINEERING,5,0,5,1,2,13
JOBS_000109,DATA_ENGINEER,DATA_ENGINEERING,0,0,3,1,3,7
JOBS_000110,QA_AUTOMATION_ENG,QA_TESTING,2,1,8,2,2,15
JOBS_000111,SE_II,FULLSTACK_ENGINEERING,0,0,5,3,1,9
JOBS_000112,FE_DEV,FULLSTACK_ENGINEERING,3,3,7,0,2,15
JOBS_000113,BE_DEV,FULLSTACK_ENGINEERING,0,1,12,4,1,18
JOBS_000114,MOBILE_DEV,MOBILE_ENGINEERING,3,2,4,0,4,13
JOBS_000115,SENIOR_FE_DEV,FULLSTACK_ENGINEERING,4,1,7,4,5,21
JOBS_000116,QA_AUTOMATION_ENG,QA_TESTING,1,0,9,4,0,14
JOBS_000117,SE_II,FULLSTACK_ENGINEERING,0,0,9,3,2,14
JOBS_000118,DATA_ENGINEER,DATA_ENGINEERING,1,0,16,2,6,25
JOBS_000119,SENIOR_DATA_ENGINEER,DATA_ENGINEERING,2,4,13,5,4,28
JOBS_000120,SENIOR_DATA_ENGINEER,DATA_ENGINEERING,3,5,14,3,18,43
JOBS_000121,SENIOR_DATA_ENGINEER,DATA_ENGINEERING,1,0,8,2,1,12
JOBS_000122,SENIOR_FE_DEV,FULLSTACK_ENGINEERING,3,2,12,3,6,26
JOBS_000123,SENIOR_MOBILE_DEV,MOBILE_ENGINEERING,4,2,24,5,4,39
JOBS_000124,SENIOR_CLOUD_ENG,CLOUD_ENGINEERING,1,0,13,4,12,30
JOBS_000125,SENIOR_DATA_ENGINEER,DATA_ENGINEERING,4,0,14,2,4,24
JOBS_000126,SENIOR_SRE,DEVOPS_SRE,2,4,24,5,11,46
JOBS_000127,JR_PROJECT_MANAGER,PROJECT_MANAGEMENT,3,1,11,4,0,19
JOBS_000128,SENIOR_SRE,DEVOPS_SRE,4,4,26,6,10,50
JOBS_000129,SECURITY_ENGINEER,SECURITY,2,1,22,1,15,41
JOBS_000130,LEAD_FE_DEV,FULLSTACK_ENGINEERING,3,1,15,4,2,25
JOBS_000131,QA_AUTOMATION_ENG,QA_TESTING,1,0,6,3,2,12
JOBS_000132,BE_DEV,FULLSTACK_ENGINEERING,0,4,16,4,10,34
JOBS_000133,SENIOR_SRE,DEVOPS_SRE,2,4,27,4,12,49
JOBS_000134,SRE,DEVOPS_SRE,3,1,17,6,2,29
JOBS_000135,SENIOR_FE_DEV,FULLSTACK_ENGINEERING,2,4,9,5,4,24
JOBS_000136,DATA_ENGINEER,DATA_ENGINEERING,4,0,18,6,4,32
JOBS_000137,LEAD_MOBILE_DEV,MOBILE_ENGINEERING,3,2,23,5,5,38
JOBS_000138,JR_PROJECT_MANAGER,PROJECT_MANAGEMENT,2,0,14,6,4,26
JOBS_000139,SENIOR_BE_DEV,FULLSTACK_ENGINEERING,2,2,13,5,7,29
JOBS_000140,FE_DEV,FULLSTACK_ENGINEERING,2,3,13,10,8,36
JOBS_000141,MOBILE_DEV,MOBILE_ENGINEERING,0,1,13,4,7,25
JOBS_000142,STAFF_DATA_ENGINEER,DATA_ENGINEERING,0,0,25,5,2,32
JOBS_000143,SENIOR_FE_DEV,FULLSTACK_ENGINEERING,4,4,17,5,7,37
JOBS_000144,MOBILE_DEV,MOBILE_ENGINEERING,3,1,15,1,3,23
JOBS_000145,ML_RESEARCH_SCIENTIST,AI_ML,0,0,3,1,1,5
JOBS_000146,FE_DEV,FULLSTACK_ENGINEERING,3,3,11,2,8,27
JOBS_000147,BE_DEV,FULLSTACK_ENGINEERING,2,4,7,1,6,20
JOBS_000148,BE_DEV,FULLSTACK_ENGINEERING,1,2,17,3,6,29
JOBS_000149,UI_UX_DESIGNER,UI_UX_DESIGN,0,0,11,4,3,18
JOBS_000150,SENIOR_DATA_ENGINEER,DATA_ENGINEERING,6,2,32,3,6,49
JOBS_000151,SENIOR_FE_DEV,FULLSTACK_ENGINEERING,2,3,16,3,3,27
JOBS_000152,DATA_ENGINEER,DATA_ENGINEERING,1,0,12,3,3,19
JOBS_000153,QA_AUTOMATION_ENG,QA_TESTING,1,0,11,3,1,16
JOBS_000154,SENIOR_QA_AUTOMATION,QA_TESTING,2,3,16,2,0,23
JOBS_000155,SENIOR_QA_AUTOMATION,QA_TESTING,0,0,13,1,0,14
JOBS_000156,JR_PROJECT_MANAGER,PROJECT_MANAGEMENT,2,0,25,2,1,30
JOBS_000157,SENIOR_BE_DEV,FULLSTACK_ENGINEERING,4,8,23,3,7,45
JOBS_000158,SENIOR_QA_AUTOMATION,QA_TESTING,2,2,18,9,4,35
JOBS_000159,BE_DEV,FULLSTACK_ENGINEERING,0,2,17,2,6,27
JOBS_000160,SENIOR_PROGRAM_MANAGER,FULLSTACK_ENGINEERING,2,3,22,5,6,38
JOBS_000161,SENIOR_BE_DEV,FULLSTACK_ENGINEERING,1,1,21,6,4,33
JOBS_000162,SENIOR_FE_DEV,FULLSTACK_ENGINEERING,2,3,11,4,3,23
JOBS_000163,SECURITY_ENGINEER,SECURITY,0,0,11,1,1,13
JOBS_000164,SRE,DEVOPS_SRE,7,1,33,5,3,49
JOBS_000165,LEAD_FE_DEV,FULLSTACK_ENGINEERING,2,5,27,6,4,44
JOBS_000166,FE_DEV,FULLSTACK_ENGINEERING,2,5,16,3,7,33
JOBS_000167,SENIOR_CLOUD_ENG,CLOUD_ENGINEERING,3,2,17,4,6,32
JOBS_000168,DATA_ENGINEER,DATA_ENGINEERING,1,0,16,7,3,27
JOBS_000169,BE_DEV,FULLSTACK_ENGINEERING,0,0,11,2,1,14
JOBS_000170,JR_PROJECT_MANAGER,PROJECT_MANAGEMENT,4,0,23,5,1,33
JOBS_000171,SENIOR_CLOUD_ENG,CLOUD_ENGINEERING,4,3,18,4,7,36
JOBS_000172,DATA_ENGINEER,DATA_ENGINEERING,6,1,18,5,5,35
JOBS_000173,DATA_ENGINEER,DATA_ENGINEERING,0,0,11,6,1,18
JOBS_000174,PRINCIPAL_DESIGNER,FULLSTACK_ENGINEERING,0,0,15,3,2,20
JOBS_000175,FE_DEV,FULLSTACK_ENGINEERING,3,6,16,3,5,33
JOBS_000176,JR_PROJECT_MANAGER,PROJECT_MANAGEMENT,3,0,10,3,0,16
JOBS_000177,DATA_ENGINEER,DATA_ENGINEERING,3,1,21,4,5,34
JOBS_000178,QA_AUTOMATION_ENG,QA_TESTING,1,0,9,1,0,11
JOBS_000179,QA_AUTOMATION_ENG,QA_TESTING,1,0,3,1,1,6
JOBS_000180,QA_AUTOMATION_ENG,QA_TESTING,1,0,6,2,0,9
JOBS_000181,DATA_ENGINEER,DATA_ENGINEERING,5,2,27,4,4,42
JOBS_000182,MOBILE_DEV,MOBILE_ENGINEERING,6,2,3,0,3,14
JOBS_000183,QA_AUTOMATION_ENG,QA_TESTING,1,0,0,2,2,5
JOBS_000184,BE_DEV,FULLSTACK_ENGINEERING,0,2,9,2,5,18
JOBS_000185,MOBILE_DEV,MOBILE_ENGINEERING,4,1,3,0,0,8
JOBS_000186,FE_DEV,FULLSTACK_ENGINEERING,5,2,3,1,2,13
JOBS_000187,SENIOR_MOBILE_DEV,MOBILE_ENGINEERING,2,0,10,3,3,18
JOBS_000188,SENIOR_UI_UX_DESIGNER,UI_UX_DESIGN,0,0,8,2,1,11
JOBS_000189,BE_DEV,FULLSTACK_ENGINEERING,4,4,13,3,3,27
JOBS_000190,CLOUD_ENGINEER,CLOUD_ENGINEERING,2,0,10,1,3,16
JOBS_000191,FE_DEV,FULLSTACK_ENGINEERING,4,8,7,1,4,24
JOBS_000192,SENIOR_ML_ENGINEER,AI_ML,3,1,12,2,2,20
JOBS_000193,SENIOR_QA_AUTOMATION,QA_TESTING,1,0,12,4,0,17
JOBS_000194,SENIOR_FE_DEV,FULLSTACK_ENGINEERING,4,3,15,5,4,31
JOBS_000195,SENIOR_UI_UX_DESIGNER,UI_UX_DESIGN,0,0,7,2,3,12
JOBS_000196,SENIOR_FE_DEV,FULLSTACK_ENGINEERING,3,3,13,3,3,25
JOBS_000197,JR_PROJECT_MANAGER,PROJECT_MANAGEMENT,3,2,21,3,2,31
JOBS_000198,SENIOR_BE_DEV,FULLSTACK_ENGINEERING,3,3,13,3,3,25
JOBS_000199,SENIOR_BE_DEV,FULLSTACK_ENGINEERING,3,4,16,4,4,31
JOBS_000200,BE_DEV,FULLSTACK_ENGINEERING,0,1,17,5,4,27
JOBS_000201,JR_PROJECT_MANAGER,PROJECT_MANAGEMENT,3,2,21,7,0,33
JOBS_000202,SENIOR_CLOUD_ENG,CLOUD_ENGINEERING,2,1,22,5,3,33
JOBS_000203,QA_AUTOMATION_ENG,QA_TESTING,2,2,12,3,1,20
JOBS_000204,DATA_ENGINEER,DATA_ENGINEERING,1,0,19,4,2,26
JOBS_000205,BE_DEV,FULLSTACK_ENGINEERING,0,3,14,3,7,27
JOBS_000206,SRE,DEVOPS_SRE,5,1,20,4,4,34
JOBS_000207,SRE,DEVOPS_SRE,5,1,25,2,2,35
JOBS_000208,QA_AUTOMATION_ENG,QA_TESTING,1,2,6,1,2,12
JOBS_000209,JR_PROJECT_MANAGER,PROJECT_MANAGEMENT,3,2,14,5,1,25
JOBS_000210,SENIOR_QA_AUTOMATION,QA_TESTING,1,2,7,4,2,16
JOBS_000211,SENIOR_FE_DEV,FULLSTACK_ENGINEERING,2,4,10,4,7,27
JOBS_000212,SENIOR_UI_UX_DESIGNER,UI_UX_DESIGN,0,0,11,2,0,13
JOBS_000213,JR_PROJECT_MANAGER,PROJECT_MANAGEMENT,2,0,10,2,0,14
JOBS_000214,ML_RESEARCH_SCIENTIST,AI_ML,0,0,7,4,5,16
JOBS_000215,DATA_ENGINEER,DATA_ENGINEERING,3,0,11,3,2,19
JOBS_000216,MOBILE_DEV,MOBILE_ENGINEERING,0,0,5,2,1,8
JOBS_000217,JR_BE_DEV,FULLSTACK_ENGINEERING,1,2,11,1,7,22
JOBS_000218,QA_AUTOMATION_ENG,QA_TESTING,1,1,13,4,0,19
JOBS_000219,QA_AUTOMATION_ENG,QA_TESTING,1,1,7,2,1,12
JOBS_000220,BE_DEV,FULLSTACK_ENGINEERING,2,4,18,4,4,32
JOBS_000221,UI_UX_DESIGNER,UI_UX_DESIGN,0,1,13,3,4,21
JOBS_000222,FE_DEV,FULLSTACK_ENGINEERING,5,4,2,1,3,15
JOBS_000223,FE_DEV,FULLSTACK_ENGINEERING,3,5,5,2,3,18
JOBS_000224,SRE,DEVOPS_SRE,8,2,21,3,8,42
JOBS_000225,QA_AUTOMATION_ENG,QA_TESTING,0,1,4,0,1,6
JOBS_000226,BE_DEV,FULLSTACK_ENGINEERING,0,4,16,1,8,29
JOBS_000227,DATA_ENGINEER,DATA_ENGINEERING,5,3,16,1,4,29
JOBS_000228,BE_DEV,FULLSTACK_ENGINEERING,0,1,20,1,7,29
JOBS_000229,BE_DEV,FULLSTACK_ENGINEERING,0,0,11,1,4,16
JOBS_000230,FE_DEV,FULLSTACK_ENGINEERING,0,1,8,1,4,14
JOBS_000231,MOBILE_DEV,MOBILE_ENGINEERING,5,2,11,5,5,28
JOBS_000232,FE_DEV,FULLSTACK_ENGINEERING,1,2,11,4,4,22
JOBS_000233,DATA_ENGINEER,DATA_ENGINEERING,5,2,20,7,3,37
JOBS_000234,FE_DEV,FULLSTACK_ENGINEERING,2,1,12,3,6,24
JOBS_000235,QA_AUTOMATION_ENG,QA_TESTING,2,0,11,3,2,18
JOBS_000236,UI_UX_DESIGNER,UI_UX_DESIGN,0,2,16,5,4,27
JOBS_000237,FE_DEV,FULLSTACK_ENGINEERING,2,2,14,2,0,20
JOBS_000238,ML_RESEARCH_SCIENTIST,AI_ML,0,0,16,8,5,29
JOBS_000239,MOBILE_DEV,MOBILE_ENGINEERING,2,3,14,5,1,25
JOBS_000240,BE_DEV,FULLSTACK_ENGINEERING,3,0,7,1,2,13
JOBS_000241,RESEARCH_SCIENTIST,FULLSTACK_ENGINEERING,2,2,19,8,7,38
JOBS_000242,SENIOR_DATA_ENGINEER,DATA_ENGINEERING,1,0,13,5,5,24
JOBS_000243,FE_DEV,FULLSTACK_ENGINEERING,2,4,18,6,6,36
JOBS_000244,DATA_ENGINEER,DATA_ENGINEERING,4,0,20,5,5,34
JOBS_000245,CLOUD_ENGINEER,CLOUD_ENGINEERING,0,0,19,6,7,32
JOBS_000246,BE_DEV,FULLSTACK_ENGINEERING,4,3,20,6,3,36
JOBS_000247,SENIOR_SE,FULLSTACK_ENGINEERING,0,0,21,6,5,32
JOBS_000248,SECURITY_ENGINEER,SECURITY,2,1,20,3,9,35
JOBS_000249,SENIOR_BE_DEV,FULLSTACK_ENGINEERING,4,4,15,3,5,31
JOBS_000250,FE_DEV,FULLSTACK_ENGINEERING,2,3,11,1,6,23
JOBS_000251,BE_DEV,FULLSTACK_ENGINEERING,4,4,14,2,6,30
JOBS_000252,SENIOR_FE_DEV,FULLSTACK_ENGINEERING,3,2,15,3,8,31
JOBS_000253,MOBILE_DEV,MOBILE_ENGINEERING,3,1,9,1,1,15
JOBS_000254,UI_UX_DESIGNER,UI_UX_DESIGN,0,0,8,1,0,9
JOBS_000255,MOBILE_DEV,MOBILE_ENGINEERING,2,1,12,1,6,22
JOBS_000256,CLOUD_ENGINEER,CLOUD_ENGINEERING,5,1,25,5,8,44
JOBS_000257,BE_DEV,FULLSTACK_ENGINEERING,1,2,22,4,6,35
JOBS_000258,MOBILE_DEV,MOBILE_ENGINEERING,5,3,8,3,4,23
JOBS_000259,SENIOR_SRE,DEVOPS_SRE,8,0,28,7,7,50
JOBS_000260,FE_DEV,FULLSTACK_ENGINEERING,1,1,6,4,1,13
JOBS_000261,SENIOR_BE_DEV,FULLSTACK_ENGINEERING,3,7,19,3,5,37
JOBS_000262,FE_DEV,FULLSTACK_ENGINEERING,2,3,11,4,8,28
JOBS_000263,SENIOR_DATA_ENGINEER,DATA_ENGINEERING,3,4,19,1,16,43
JOBS_000264,BE_DEV,FULLSTACK_ENGINEERING,4,1,14,1,2,22
JOBS_000265,JR_PROJECT_MANAGER,PROJECT_MANAGEMENT,1,0,10,5,3,19
JOBS_000266,SENIOR_BE_DEV,FULLSTACK_ENGINEERING,0,1,29,6,7,43
JOBS_000267,SENIOR_DATA_ENGINEER,DATA_ENGINEERING,5,1,13,2,5,26
JOBS_000268,SENIOR_QA_AUTOMATION,QA_TESTING,2,2,15,3,3,25
JOBS_000269,SENIOR_QA_AUTOMATION,QA_TESTING,1,1,19,3,1,25
JOBS_000270,FE_DEV,FULLSTACK_ENGINEERING,2,3,8,2,1,16
JOBS_000271,SENIOR_BE_DEV,FULLSTACK_ENGINEERING,0,3,15,4,6,28
JOBS_000272,SENIOR_QA_AUTOMATION,QA_TESTING,2,2,13,3,3,23
JOBS_000273,BE_DEV,FULLSTACK_ENGINEERING,0,0,14,3,5,22
JOBS_000274,MOBILE_DEV,MOBILE_ENGINEERING,2,1,11,3,0,17
JOBS_000275,SRE,DEVOPS_SRE,5,2,17,2,3,29
JOBS_000276,QA_AUTOMATION_ENG,QA_TESTING,1,0,1,3,0,5
JOBS_000277,SECURITY_ENGINEER,SECURITY,2,0,8,4,5,19
JOBS_000278,FE_DEV,FULLSTACK_ENGINEERING,2,2,5,2,7,18
JOBS_000279,JR_PROJECT_MANAGER,PROJECT_MANAGEMENT,5,1,6,0,0,12
JOBS_000280,BE_DEV,FULLSTACK_ENGINEERING,4,6,9,1,8,28
JOBS_000281,DATA_ENGINEER,DATA_ENGINEERING,2,0,3,1,0,6
JOBS_000282,FE_DEV,FULLSTACK_ENGINEERING,4,3,8,1,3,19
JOBS_000283,SRE,DEVOPS_SRE,3,2,27,4,2,38
JOBS_000284,BE_DEV,FULLSTACK_ENGINEERING,0,1,17,3,4,25
JOBS_000285,BE_DEV,FULLSTACK_ENGINEERING,1,1,20,7,2,31
JOBS_000286,FE_DEV,FULLSTACK_ENGINEERING,2,2,15,6,3,28
JOBS_000287,QA_AUTOMATION_ENG,QA_TESTING,1,1,19,2,0,23
JOBS_000288,SENIOR_BE_DEV,FULLSTACK_ENGINEERING,2,2,13,6,4,27
JOBS_000289,DATA_ENGINEER,DATA_ENGINEERING,5,0,16,4,1,26
JOBS_000290,JR_UI_UX_DESIGNER,UI_UX_DESIGN,0,0,7,4,0,11
JOBS_000291,JR_DATA_ENGINEER,DATA_ENGINEERING,0,0,16,6,4,26
JOBS_000292,CLOUD_ENGINEER,CLOUD_ENGINEERING,2,1,24,3,6,36
JOBS_000293,BE_DEV,FULLSTACK_ENGINEERING,0,2,7,2,5,16
JOBS_000294,MOBILE_DEV,MOBILE_ENGINEERING,5,1,8,1,0,15
JOBS_000295,SRE,DEVOPS_SRE,0,0,18,2,1,21
JOBS_000296,SECURITY_ENGINEER,SECURITY,3,1,14,2,0,20
JOBS_000297,SE_II,FULLSTACK_ENGINEERING,0,0,7,3,0,10
JOBS_000298,SENIOR_DATA_ENGINEER,DATA_ENGINEERING,2,1,22,7,10,42
JOBS_000299,SENIOR_PROGRAM_MANAGER,FULLSTACK_ENGINEERING,0,0,15,3,1,19
JOBS_000300,SE_II,FULLSTACK_ENGINEERING,0,0,5,3,0,8
JOBS_000301,JR_PROJECT_MANAGER,PROJECT_MANAGEMENT,2,0,7,2,1,12
JOBS_000302,LEAD_BE_DEV,FULLSTACK_ENGINEERING,3,4,11,3,5,26
JOBS_000303,LEAD_BE_DEV,FULLSTACK_ENGINEERING,3,3,11,3,2,22
JOBS_000304,LEAD_BE_DEV,FULLSTACK_ENGINEERING,3,4,11,3,5,26
JOBS_000305,LEAD_FE_DEV,FULLSTACK_ENGINEERING,3,3,13,2,4,25
JOBS_000306,JR_PROJECT_MANAGER,PROJECT_MANAGEMENT,3,0,13,5,1,22
JOBS_000307,UI_UX_DESIGNER,UI_UX_DESIGN,0,0,5,2,2,9
JOBS_000308,DATA_ENGINEER,DATA_ENGINEERING,1,0,11,3,4,19
JOBS_000309,QA_AUTOMATION_ENG,QA_TESTING,1,1,14,3,5,24
