skill_id,name,category,type,domains
SK1114,ansible automation engineer,certification,credential,
SK1132,comptia a+,certification,credential,
SK1135,comptia cloud+,certification,credential,
SK1136,comptia data+,certification,credential,
SK1137,scrum@scale,certification,credential,
SK1138,aws networking specialty,certification,credential,
SK1139,unity certified developer,certification,credential,
SK1140,unreal authorized instructor,certification,credential,
SK1143,palo alto pcnsa,certification,credential,
SK1144,splunk certified power user,certification,credential,
SK1145,elastic certified engineer,certification,credential,
SK1134,comptia linux+,certification,credential,
SK1111,github actions certification,certification,credential,
SK1043,azure ai engineer ai-102,certification,credential,
SK1113,puppet certified professional,certification,credential,
SK1035,aws cloud practitioner,certification,credential,
SK479,azure virtual machines,cloud,technical,
SK527,google cloud scheduler,cloud,technical,
SK526,google cloud tasks,cloud,technical,
SK525,google alloydb,cloud,technical,
SK470,aws organizations,cloud,technical,
SK519,google cloud cdn,cloud,technical,
SK518,google cloud iam,cloud,technical,
SK524,google cloud memorystore,cloud,technical,
SK516,google artifact registry,cloud,technical,
SK505,google cloud run,cloud,technical,
SK499,azure terraform,cloud,technical,
SK497,azure static web apps,cloud,technical,
SK496,azure openai service,cloud,technical,
SK494,azure redis cache,cloud,technical,
SK492,azure cdn,cloud,technical,
SK491,azure front door,cloud,technical,
SK517,google cloud armor,cloud,technical,
SK458,aws secrets manager,cloud,technical,
SK906,architecture decision records,communication,soft,
SK967,architecture evaluation,communication,soft,
SK549,polars,data,technical,
SK597,apache cassandra advanced,data,technical,
SK599,apache iceberg,data,technical,
SK601,apache hudi,data,technical,
SK736,questdb,database,technical,
SK738,weaviate,database,technical,
SK742,pgvector,database,technical,
SK743,fauna,database,technical,
SK744,supabase,database,technical,
SK745,planetscale,database,technical,
SK746,neon,database,technical,
SK739,milvus,database,technical,
SK737,pinecone,database,technical,
SK731,arangodb,database,technical,
SK725,mongodb advanced,database,technical,
SK724,vitess,database,technical,
SK719,mysql advanced,database,technical,
SK718,postgresql advanced,database,technical,
SK741,qdrant,database,technical,
SK740,chroma,database,technical,
SK703,traefik,devops,technical,
SK699,linkerd,devops,technical,
SK697,splunk observability,devops,technical,
SK690,zipkin,devops,technical,
SK679,crossplane,devops,technical,
SK673,cloudformation advanced,devops,technical,
SK672,pulumi,devops,technical,
SK664,buildkite,devops,technical,
SK662,aws codepipeline advanced,devops,technical,
SK714,feature flags,devops,technical,
SK364,alpine.js,frontend,technical,
SK361,qwik,frontend,technical,
SK360,solid.js,frontend,technical,
SK359,astro,frontend,technical,
SK413,zustand,frontend,technical,
SK415,recoil,frontend,technical,
SK376,turbopack,frontend,technical,
SK416,pinia,frontend,technical,
SK417,tanstack query,frontend,technical,
SK420,hugo,frontend,technical,
SK421,jekyll,frontend,technical,
SK426,puppeteer,frontend,technical,
SK365,htmx,frontend,technical,
SK429,vitest,frontend,technical,
SK411,trpc,fullstack,technical,
SK390,blazor,fullstack,technical,
SK357,sveltekit,fullstack,technical,
SK358,remix,fullstack,technical,
SK333,gdscript,game_dev,technical,GAME_DEVELOPMENT
SK859,vulkan,game_dev,technical,GAME_DEVELOPMENT
SK857,procedural generation,game_dev,technical,GAME_DEVELOPMENT
SK855,game ai,game_dev,technical,GAME_DEVELOPMENT
SK850,godot,game_dev,technical,GAME_DEVELOPMENT
SK345,glsl,game_dev,technical,GAME_DEVELOPMENT
SK346,hlsl,game_dev,technical,GAME_DEVELOPMENT
SK862,game optimization,game_dev,technical,GAME_DEVELOPMENT
SK858,directx,game_dev,technical,GAME_DEVELOPMENT
SK947,scaling teams,leadership,soft,
SK931,diversity inclusion,leadership,soft,
SK806,maui,mobile,technical,
SK808,widgets ios,mobile,technical,
SK818,app store optimization,mobile,technical,
SK014,c,other,technical,EMBEDDED_SYSTEMS
SK992,technical debt tracking,project_mgmt,soft,
SK759,burp suite,security,technical,
SK760,metasploit,security,technical,
SK779,forensics,security,technical,SECURITY
SK793,container security scanning,security,technical,
SK794,secret scanning,security,technical,
SK797,sbom,security,technical,
